match,league,home/away,team,opponent,date,goals,opponent goals,season,Match Ball Possession,opponent Match Ball Possession,Match Goal Attempts,opponent Match Goal Attempts,Match Shots on Goal,opponent Match Shots on Goal,Match Shots off Goal,opponent Match Shots off Goal,Match Blocked Shots,opponent Match Blocked Shots,Match Free Kicks,opponent Match Free Kicks,Match Corner Kicks,opponent Match Corner Kicks,Match Offsides,opponent Match Offsides,Match Throw-in,opponent Match Throw-in,Match Goalkeeper Saves,opponent Match Goalkeeper Saves,Match Fouls,opponent Match Fouls,Match Yellow Cards,opponent Match Yellow Cards,Match Attacks,opponent Match Attacks,Match Dangerous Attacks,opponent Match Dangerous Attacks,1st half Ball Possession,opponent 1st half Ball Possession,1st half Goal Attempts,opponent 1st half Goal Attempts,1st half Shots on Goal,opponent 1st half Shots on Goal,1st half Shots off Goal,opponent 1st half Shots off Goal,1st half Blocked Shots,opponent 1st half Blocked Shots,1st half Free Kicks,opponent 1st half Free Kicks,1st half Corner Kicks,opponent 1st half Corner Kicks,1st half Offsides,opponent 1st half Offsides,1st half Goalkeeper Saves,opponent 1st half Goalkeeper Saves,1st half Fouls,opponent 1st half Fouls,1st half Yellow Cards,opponent 1st half Yellow Cards,1st half Attacks,opponent 1st half Attacks,1st half Dangerous Attacks,opponent 1st half Dangerous Attacks,2nd half Ball Possession,opponent 2nd half Ball Possession,2nd half Goal Attempts,opponent 2nd half Goal Attempts,2nd half Shots on Goal,opponent 2nd half Shots on Goal,2nd half Shots off Goal,opponent 2nd half Shots off Goal,2nd half Blocked Shots,opponent 2nd half Blocked Shots,2nd half Free Kicks,opponent 2nd half Free Kicks,2nd half Corner Kicks,opponent 2nd half Corner Kicks,2nd half Offsides,opponent 2nd half Offsides,2nd half Throw-in,opponent 2nd half Throw-in,2nd half Goalkeeper Saves,opponent 2nd half Goalkeeper Saves,2nd half Fouls,opponent 2nd half Fouls,2nd half Attacks,opponent 2nd half Attacks,2nd half Dangerous Attacks,opponent 2nd half Dangerous Attacks,Match Red Cards,opponent Match Red Cards,1st half Red Cards,opponent 1st half Red Cards,2nd half Yellow Cards,opponent 2nd half Yellow Cards,2nd half Red Cards,opponent 2nd half Red Cards,Match Goal Kicks,opponent Match Goal Kicks,1st half Goal Kicks,opponent 1st half Goal Kicks,2nd half Goal Kicks,opponent 2nd half Goal Kicks
laliga-2017-2018-2017-08-25-Real Sociedad-Villarreal,laliga,home,Real Sociedad,Villarreal,25.08.2017,3,0,2017-2018,61%,39%,15.0,6.0,9.0,1.0,4.0,3.0,2.0,2.0,23.0,14.0,9.0,4.0,2.0,2.0,22.0,20.0,1.0,6.0,12.0,22.0,2.0,2.0,98.0,77.0,80.0,42.0,62%,38%,9.0,1.0,6.0,1.0,3.0,0.0,0.0,0.0,11.0,8.0,5.0,1.0,1.0,1.0,1.0,3.0,7.0,10.0,2.0,1.0,53.0,38.0,48.0,15.0,60%,40%,6.0,5.0,3.0,0.0,1.0,3.0,2.0,2.0,12.0,6.0,4.0,3.0,1.0,1.0,22.0,20.0,0.0,3.0,5.0,12.0,45.0,39.0,32.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-08-26-Alaves-Barcelona,laliga,home,Alaves,Barcelona,26.08.2017,0,2,2017-2018,27%,73%,11.0,23.0,2.0,11.0,3.0,5.0,6.0,7.0,9.0,12.0,1.0,14.0,1.0,0.0,7.0,23.0,9.0,2.0,12.0,10.0,2.0,3.0,66.0,125.0,29.0,101.0,20%,80%,5.0,11.0,1.0,7.0,1.0,1.0,3.0,3.0,6.0,8.0,1.0,8.0,1.0,0.0,7.0,1.0,7.0,6.0,2.0,3.0,28.0,62.0,12.0,55.0,34%,66%,6.0,12.0,1.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,0.0,6.0,0.0,0.0,7.0,23.0,2.0,1.0,5.0,4.0,38.0,63.0,17.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-08-26-Girona-Malaga,laliga,home,Girona,Malaga,26.08.2017,1,0,2017-2018,44%,56%,15.0,7.0,4.0,2.0,7.0,3.0,4.0,2.0,16.0,14.0,2.0,3.0,3.0,1.0,25.0,20.0,2.0,3.0,11.0,15.0,3.0,4.0,108.0,96.0,64.0,47.0,49%,51%,10.0,2.0,2.0,1.0,5.0,1.0,3.0,0.0,7.0,6.0,2.0,1.0,1.0,0.0,1.0,1.0,5.0,7.0,1.0,0.0,52.0,46.0,32.0,20.0,39%,61%,5.0,5.0,2.0,1.0,2.0,2.0,1.0,2.0,9.0,8.0,0.0,2.0,2.0,1.0,25.0,20.0,1.0,2.0,6.0,8.0,56.0,50.0,32.0,27.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-08-26-Las Palmas-Atl. Madrid,laliga,home,Las Palmas,Atl. Madrid,26.08.2017,1,5,2017-2018,62%,38%,11.0,8.0,4.0,6.0,5.0,2.0,2.0,0.0,8.0,13.0,4.0,2.0,2.0,0.0,25.0,17.0,1.0,3.0,11.0,9.0,4.0,1.0,101.0,88.0,70.0,47.0,56%,44%,5.0,2.0,1.0,2.0,3.0,0.0,1.0,0.0,4.0,8.0,3.0,1.0,1.0,0.0,0.0,1.0,7.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,68%,32%,6.0,6.0,3.0,4.0,2.0,2.0,1.0,0.0,4.0,5.0,1.0,1.0,1.0,0.0,25.0,17.0,1.0,2.0,4.0,5.0,101.0,88.0,70.0,47.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-08-26-Levante-Dep. La Coruna,laliga,home,Levante,Dep. La Coruna,26.08.2017,2,2,2017-2018,57%,43%,24.0,11.0,5.0,4.0,13.0,5.0,6.0,2.0,18.0,11.0,6.0,5.0,0.0,7.0,34.0,15.0,2.0,3.0,11.0,12.0,2.0,2.0,84.0,75.0,83.0,36.0,55%,45%,15.0,4.0,3.0,3.0,7.0,1.0,5.0,0.0,10.0,3.0,4.0,2.0,0.0,3.0,1.0,2.0,3.0,7.0,0.0,1.0,45.0,34.0,45.0,9.0,59%,41%,9.0,7.0,2.0,1.0,6.0,4.0,1.0,2.0,8.0,8.0,2.0,3.0,0.0,4.0,34.0,15.0,1.0,1.0,8.0,5.0,39.0,41.0,38.0,27.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-08-27-Eibar-Ath Bilbao,laliga,home,Eibar,Ath Bilbao,27.08.2017,0,1,2017-2018,56%,44%,14.0,9.0,5.0,4.0,4.0,3.0,5.0,2.0,17.0,16.0,4.0,3.0,2.0,5.0,31.0,27.0,3.0,5.0,14.0,11.0,3.0,1.0,102.0,82.0,72.0,74.0,52%,48%,6.0,4.0,2.0,1.0,1.0,1.0,3.0,2.0,6.0,10.0,1.0,2.0,1.0,2.0,0.0,2.0,9.0,3.0,1.0,0.0,49.0,41.0,33.0,37.0,60%,40%,8.0,5.0,3.0,3.0,3.0,2.0,2.0,0.0,11.0,6.0,3.0,1.0,1.0,3.0,31.0,27.0,3.0,3.0,5.0,8.0,53.0,41.0,39.0,37.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-08-27-Espanyol-Leganes,laliga,home,Espanyol,Leganes,27.08.2017,0,1,2017-2018,60%,40%,15.0,12.0,2.0,8.0,9.0,3.0,4.0,1.0,18.0,10.0,9.0,1.0,0.0,4.0,16.0,18.0,7.0,2.0,10.0,14.0,3.0,3.0,101.0,84.0,73.0,48.0,57%,43%,5.0,10.0,0.0,7.0,3.0,2.0,2.0,1.0,8.0,5.0,2.0,1.0,0.0,1.0,6.0,0.0,5.0,7.0,0.0,0.0,43.0,44.0,23.0,30.0,63%,37%,10.0,2.0,2.0,1.0,6.0,1.0,2.0,0.0,10.0,5.0,7.0,0.0,0.0,3.0,16.0,18.0,1.0,2.0,5.0,7.0,58.0,40.0,50.0,18.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-08-27-Getafe-Sevilla,laliga,home,Getafe,Sevilla,27.08.2017,0,1,2017-2018,43%,57%,15.0,6.0,3.0,3.0,8.0,3.0,4.0,0.0,13.0,24.0,7.0,5.0,3.0,3.0,35.0,26.0,2.0,3.0,20.0,10.0,0.0,1.0,97.0,82.0,74.0,56.0,40%,60%,7.0,2.0,2.0,1.0,3.0,1.0,2.0,0.0,4.0,12.0,4.0,2.0,1.0,1.0,1.0,2.0,10.0,3.0,0.0,0.0,45.0,47.0,31.0,27.0,46%,54%,8.0,4.0,1.0,2.0,5.0,2.0,2.0,0.0,9.0,12.0,3.0,3.0,2.0,2.0,35.0,26.0,1.0,1.0,10.0,7.0,52.0,35.0,43.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-08-27-Real Madrid-Valencia,laliga,home,Real Madrid,Valencia,27.08.2017,2,2,2017-2018,65%,35%,22.0,7.0,6.0,3.0,12.0,2.0,4.0,2.0,16.0,15.0,13.0,4.0,3.0,3.0,24.0,10.0,1.0,4.0,12.0,12.0,4.0,5.0,94.0,75.0,93.0,48.0,65%,35%,7.0,2.0,2.0,1.0,4.0,0.0,1.0,1.0,6.0,7.0,7.0,2.0,2.0,3.0,0.0,1.0,5.0,2.0,0.0,0.0,44.0,36.0,45.0,24.0,65%,35%,15.0,5.0,4.0,2.0,8.0,2.0,3.0,1.0,10.0,8.0,6.0,2.0,1.0,0.0,24.0,10.0,1.0,3.0,7.0,10.0,50.0,39.0,48.0,24.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-09-08-Leganes-Getafe,laliga,home,Leganes,Getafe,08.09.2017,1,2,2017-2018,61%,39%,11.0,10.0,7.0,2.0,4.0,5.0,0.0,3.0,21.0,14.0,2.0,4.0,0.0,2.0,30.0,24.0,0.0,6.0,14.0,20.0,1.0,2.0,93.0,80.0,69.0,53.0,63%,37%,4.0,6.0,2.0,1.0,2.0,4.0,0.0,1.0,9.0,6.0,1.0,3.0,0.0,1.0,0.0,2.0,6.0,8.0,0.0,0.0,44.0,38.0,24.0,25.0,59%,41%,7.0,4.0,5.0,1.0,2.0,1.0,0.0,2.0,12.0,8.0,1.0,1.0,0.0,1.0,30.0,24.0,0.0,4.0,8.0,12.0,49.0,42.0,45.0,28.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-09-09-Barcelona-Espanyol,laliga,home,Barcelona,Espanyol,09.09.2017,5,0,2017-2018,76%,24%,20.0,9.0,9.0,1.0,6.0,5.0,5.0,3.0,19.0,13.0,8.0,7.0,3.0,1.0,24.0,18.0,1.0,4.0,11.0,18.0,1.0,5.0,124.0,77.0,73.0,49.0,75%,25%,10.0,3.0,5.0,0.0,3.0,3.0,2.0,0.0,7.0,7.0,5.0,2.0,0.0,1.0,0.0,3.0,7.0,6.0,1.0,1.0,71.0,41.0,41.0,21.0,77%,23%,10.0,6.0,4.0,1.0,3.0,2.0,3.0,3.0,12.0,6.0,3.0,5.0,3.0,0.0,24.0,18.0,1.0,1.0,4.0,12.0,53.0,36.0,32.0,28.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-09-09-Real Madrid-Levante,laliga,home,Real Madrid,Levante,09.09.2017,1,1,2017-2018,69%,31%,18.0,5.0,10.0,2.0,7.0,1.0,1.0,2.0,17.0,11.0,13.0,3.0,3.0,1.0,25.0,14.0,1.0,9.0,9.0,16.0,2.0,3.0,99.0,73.0,101.0,34.0,66%,34%,8.0,3.0,5.0,1.0,2.0,1.0,1.0,1.0,6.0,6.0,6.0,1.0,2.0,0.0,0.0,4.0,5.0,6.0,0.0,1.0,51.0,36.0,46.0,19.0,72%,28%,10.0,2.0,5.0,1.0,5.0,0.0,0.0,1.0,11.0,5.0,7.0,2.0,1.0,1.0,25.0,14.0,1.0,5.0,4.0,10.0,48.0,37.0,55.0,15.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-09-09-Sevilla-Eibar,laliga,home,Sevilla,Eibar,09.09.2017,3,0,2017-2018,60%,40%,12.0,7.0,6.0,2.0,5.0,2.0,1.0,3.0,19.0,18.0,6.0,5.0,4.0,2.0,23.0,21.0,2.0,3.0,14.0,18.0,1.0,1.0,100.0,99.0,64.0,53.0,66%,34%,7.0,1.0,3.0,1.0,3.0,0.0,1.0,0.0,14.0,11.0,5.0,2.0,3.0,1.0,1.0,3.0,7.0,14.0,1.0,1.0,47.0,53.0,30.0,26.0,54%,46%,5.0,6.0,3.0,1.0,2.0,2.0,0.0,3.0,5.0,7.0,1.0,3.0,1.0,1.0,23.0,21.0,1.0,0.0,7.0,4.0,53.0,46.0,34.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-09-09-Valencia-Atl. Madrid,laliga,home,Valencia,Atl. Madrid,09.09.2017,0,0,2017-2018,49%,51%,11.0,13.0,0.0,4.0,5.0,6.0,6.0,3.0,14.0,16.0,4.0,3.0,0.0,0.0,21.0,25.0,4.0,0.0,16.0,14.0,1.0,0.0,64.0,62.0,51.0,57.0,53%,47%,6.0,4.0,0.0,1.0,3.0,3.0,3.0,0.0,7.0,9.0,2.0,1.0,0.0,0.0,1.0,0.0,9.0,7.0,1.0,0.0,34.0,29.0,26.0,29.0,45%,55%,5.0,9.0,0.0,3.0,2.0,3.0,3.0,3.0,7.0,7.0,2.0,2.0,0.0,0.0,21.0,25.0,3.0,0.0,7.0,7.0,30.0,33.0,25.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2017-2018-2017-09-10-Ath Bilbao-Girona,laliga,home,Ath Bilbao,Girona,10.09.2017,2,0,2017-2018,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
