match,league,home/away,team,opponent,date,goals,opponent goals,season,Match Ball Possession,opponent Match Ball Possession,Match Goal Attempts,opponent Match Goal Attempts,Match Shots on Goal,opponent Match Shots on Goal,Match Shots off Goal,opponent Match Shots off Goal,Match Blocked Shots,opponent Match Blocked Shots,Match Free Kicks,opponent Match Free Kicks,Match Corner Kicks,opponent Match Corner Kicks,Match Offsides,opponent Match Offsides,Match Goalkeeper Saves,opponent Match Goalkeeper Saves,Match Fouls,opponent Match Fouls,Match Yellow Cards,opponent Match Yellow Cards,Match Total Passes,opponent Match Total Passes,Match Completed Passes,opponent Match Completed Passes,Match Tackles,opponent Match Tackles,Match Attacks,opponent Match Attacks,Match Dangerous Attacks,opponent Match Dangerous Attacks,1st half Ball Possession,opponent 1st half Ball Possession,1st half Goal Attempts,opponent 1st half Goal Attempts,1st half Shots on Goal,opponent 1st half Shots on Goal,1st half Shots off Goal,opponent 1st half Shots off Goal,1st half Blocked Shots,opponent 1st half Blocked Shots,1st half Free Kicks,opponent 1st half Free Kicks,1st half Corner Kicks,opponent 1st half Corner Kicks,1st half Offsides,opponent 1st half Offsides,1st half Goalkeeper Saves,opponent 1st half Goalkeeper Saves,1st half Fouls,opponent 1st half Fouls,1st half Total Passes,opponent 1st half Total Passes,1st half Completed Passes,opponent 1st half Completed Passes,1st half Tackles,opponent 1st half Tackles,1st half Attacks,opponent 1st half Attacks,1st half Dangerous Attacks,opponent 1st half Dangerous Attacks,2nd half Ball Possession,opponent 2nd half Ball Possession,2nd half Goal Attempts,opponent 2nd half Goal Attempts,2nd half Shots on Goal,opponent 2nd half Shots on Goal,2nd half Shots off Goal,opponent 2nd half Shots off Goal,2nd half Blocked Shots,opponent 2nd half Blocked Shots,2nd half Free Kicks,opponent 2nd half Free Kicks,2nd half Corner Kicks,opponent 2nd half Corner Kicks,2nd half Offsides,opponent 2nd half Offsides,2nd half Goalkeeper Saves,opponent 2nd half Goalkeeper Saves,2nd half Fouls,opponent 2nd half Fouls,2nd half Yellow Cards,opponent 2nd half Yellow Cards,2nd half Total Passes,opponent 2nd half Total Passes,2nd half Completed Passes,opponent 2nd half Completed Passes,2nd half Tackles,opponent 2nd half Tackles,2nd half Attacks,opponent 2nd half Attacks,2nd half Dangerous Attacks,opponent 2nd half Dangerous Attacks,1st half Yellow Cards,opponent 1st half Yellow Cards,Match Red Cards,opponent Match Red Cards,2nd half Red Cards,opponent 2nd half Red Cards,1st half Red Cards,opponent 1st half Red Cards,Match Throw-in,opponent Match Throw-in,1st half Throw-in,opponent 1st half Throw-in,2nd half Throw-in,opponent 2nd half Throw-in
laliga-2018-2019-2019-02-09-Getafe-Celta Vigo,laliga,home,Getafe,Celta Vigo,09.02.2019,3,1,2018-2019,49%,51%,12.0,13.0,6.0,3.0,4.0,6.0,2.0,4.0,16.0,19.0,4.0,3.0,3.0,4.0,2.0,3.0,16.0,13.0,3.0,3.0,363.0,384.0,255.0,286.0,17.0,18.0,137.0,83.0,68.0,32.0,48%,52%,7.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,10.0,8.0,2.0,2.0,2.0,3.0,0.0,1.0,6.0,8.0,189.0,205.0,128.0,147.0,9.0,10.0,71.0,47.0,37.0,14.0,50%,50%,5.0,10.0,4.0,2.0,1.0,5.0,0.0,3.0,6.0,11.0,2.0,1.0,1.0,1.0,2.0,2.0,10.0,5.0,3.0,1.0,174.0,179.0,127.0,139.0,8.0,8.0,66.0,36.0,31.0,18.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2018-2019-2019-02-09-Girona-Huesca,laliga,home,Girona,Huesca,09.02.2019,0,2,2018-2019,67%,33%,13.0,6.0,7.0,6.0,5.0,0.0,1.0,0.0,20.0,11.0,13.0,2.0,2.0,2.0,4.0,7.0,9.0,18.0,3.0,1.0,502.0,266.0,406.0,178.0,13.0,23.0,142.0,111.0,78.0,27.0,64%,36%,6.0,3.0,4.0,3.0,1.0,0.0,1.0,0.0,7.0,7.0,6.0,0.0,2.0,1.0,1.0,4.0,5.0,6.0,270.0,155.0,223.0,110.0,7.0,11.0,73.0,60.0,31.0,8.0,70%,30%,7.0,3.0,3.0,3.0,4.0,0.0,0.0,0.0,13.0,4.0,7.0,2.0,0.0,1.0,3.0,3.0,4.0,12.0,3.0,1.0,232.0,111.0,183.0,68.0,6.0,12.0,69.0,51.0,47.0,19.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2018-2019-2019-02-10-Ath Bilbao-Barcelona,laliga,home,Ath Bilbao,Barcelona,10.02.2019,0,0,2018-2019,33%,67%,13.0,10.0,5.0,2.0,4.0,4.0,4.0,4.0,13.0,25.0,6.0,4.0,2.0,3.0,2.0,5.0,23.0,10.0,4.0,2.0,333.0,694.0,258.0,610.0,14.0,7.0,82.0,150.0,38.0,65.0,35%,65%,7.0,4.0,2.0,1.0,2.0,1.0,3.0,2.0,7.0,8.0,5.0,4.0,1.0,3.0,1.0,2.0,8.0,5.0,180.0,346.0,137.0,304.0,8.0,2.0,43.0,70.0,25.0,22.0,31%,69%,6.0,6.0,3.0,1.0,2.0,3.0,1.0,2.0,6.0,17.0,1.0,0.0,1.0,0.0,1.0,3.0,15.0,5.0,4.0,2.0,153.0,348.0,121.0,306.0,6.0,5.0,39.0,80.0,13.0,43.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2018-2019-2019-02-10-Leganes-Betis,laliga,home,Leganes,Betis,10.02.2019,3,0,2018-2019,32%,68%,16.0,3.0,4.0,1.0,10.0,1.0,2.0,1.0,11.0,25.0,4.0,4.0,3.0,0.0,1.0,1.0,22.0,11.0,4.0,2.0,289.0,636.0,226.0,545.0,23.0,12.0,95.0,134.0,41.0,36.0,26%,74%,13.0,1.0,2.0,1.0,8.0,0.0,3.0,0.0,6.0,10.0,3.0,3.0,1.0,0.0,1.0,0.0,9.0,6.0,115.0,335.0,79.0,285.0,8.0,5.0,50.0,60.0,27.0,20.0,38%,62%,3.0,2.0,2.0,0.0,2.0,1.0,-1.0,1.0,5.0,15.0,1.0,1.0,2.0,0.0,0.0,1.0,13.0,5.0,3.0,1.0,174.0,301.0,147.0,260.0,15.0,7.0,45.0,74.0,14.0,16.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2018-2019-2019-02-10-Sevilla-Eibar,laliga,home,Sevilla,Eibar,10.02.2019,2,2,2018-2019,59%,41%,13.0,8.0,4.0,4.0,7.0,2.0,2.0,2.0,10.0,15.0,9.0,7.0,3.0,3.0,2.0,2.0,11.0,7.0,5.0,1.0,478.0,342.0,368.0,228.0,15.0,17.0,102.0,127.0,65.0,60.0,55%,45%,5.0,4.0,0.0,2.0,5.0,1.0,0.0,1.0,5.0,5.0,3.0,4.0,0.0,2.0,1.0,0.0,4.0,4.0,229.0,184.0,181.0,134.0,7.0,12.0,41.0,79.0,26.0,30.0,63%,37%,8.0,4.0,4.0,2.0,2.0,1.0,2.0,1.0,5.0,10.0,6.0,3.0,3.0,1.0,1.0,2.0,7.0,3.0,4.0,1.0,249.0,158.0,187.0,94.0,8.0,5.0,61.0,48.0,39.0,30.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2018-2019-2019-02-10-Valencia-Real Sociedad,laliga,home,Valencia,Real Sociedad,10.02.2019,0,0,2018-2019,41%,59%,10.0,8.0,4.0,1.0,4.0,1.0,2.0,6.0,18.0,13.0,7.0,5.0,2.0,0.0,1.0,4.0,11.0,18.0,2.0,4.0,370.0,549.0,283.0,472.0,24.0,16.0,113.0,109.0,61.0,44.0,37%,63%,1.0,4.0,1.0,1.0,0.0,0.0,0.0,3.0,7.0,6.0,2.0,4.0,2.0,0.0,1.0,1.0,4.0,7.0,182.0,317.0,141.0,283.0,10.0,8.0,48.0,58.0,23.0,25.0,47%,53%,9.0,4.0,3.0,0.0,4.0,1.0,2.0,3.0,11.0,7.0,5.0,1.0,0.0,0.0,0.0,3.0,7.0,11.0,1.0,3.0,188.0,232.0,142.0,189.0,14.0,8.0,65.0,51.0,38.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2018-2019-2019-02-11-Alaves-Levante,laliga,home,Alaves,Levante,11.02.2019,2,0,2018-2019,47%,53%,16.0,8.0,4.0,0.0,9.0,3.0,3.0,5.0,18.0,14.0,3.0,10.0,1.0,0.0,0.0,2.0,14.0,18.0,3.0,2.0,292.0,327.0,205.0,215.0,20.0,20.0,109.0,101.0,55.0,39.0,56%,44%,8.0,4.0,2.0,0.0,5.0,2.0,1.0,2.0,10.0,4.0,2.0,4.0,1.0,0.0,0.0,1.0,3.0,10.0,167.0,132.0,125.0,79.0,13.0,12.0,68.0,35.0,28.0,18.0,37%,63%,8.0,4.0,2.0,0.0,4.0,1.0,2.0,3.0,8.0,10.0,1.0,6.0,0.0,0.0,0.0,1.0,11.0,8.0,3.0,1.0,125.0,195.0,80.0,136.0,7.0,8.0,41.0,66.0,27.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2018-2019-2019-02-15-Eibar-Getafe,laliga,home,Eibar,Getafe,15.02.2019,2,2,2018-2019,59%,41%,11.0,7.0,6.0,4.0,4.0,2.0,1.0,1.0,16.0,15.0,3.0,3.0,3.0,6.0,2.0,4.0,12.0,12.0,2.0,2.0,412.0,295.0,246.0,148.0,17.0,25.0,147.0,115.0,65.0,55.0,56%,44%,5.0,5.0,3.0,2.0,2.0,2.0,0.0,1.0,9.0,9.0,1.0,0.0,3.0,3.0,1.0,3.0,6.0,5.0,189.0,150.0,115.0,81.0,9.0,14.0,75.0,61.0,27.0,35.0,62%,38%,6.0,2.0,3.0,2.0,2.0,0.0,1.0,0.0,7.0,6.0,2.0,3.0,0.0,3.0,1.0,1.0,6.0,7.0,2.0,1.0,223.0,145.0,131.0,67.0,8.0,11.0,72.0,54.0,38.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2018-2019-2019-02-16-Barcelona-Valladolid,laliga,home,Barcelona,Valladolid,16.02.2019,1,0,2018-2019,61%,39%,20.0,10.0,8.0,0.0,7.0,6.0,5.0,4.0,18.0,13.0,3.0,5.0,3.0,2.0,0.0,7.0,12.0,18.0,1.0,3.0,700.0,433.0,632.0,344.0,17.0,33.0,161.0,95.0,84.0,29.0,62%,38%,7.0,2.0,2.0,0.0,0.0,1.0,5.0,1.0,11.0,7.0,1.0,2.0,2.0,2.0,0.0,1.0,6.0,10.0,343.0,210.0,309.0,163.0,9.0,18.0,90.0,45.0,26.0,17.0,60%,40%,13.0,8.0,6.0,0.0,7.0,5.0,0.0,3.0,7.0,6.0,2.0,3.0,1.0,0.0,0.0,6.0,6.0,8.0,1.0,1.0,357.0,223.0,323.0,181.0,8.0,15.0,71.0,50.0,58.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2018-2019-2019-02-16-Celta Vigo-Levante,laliga,home,Celta Vigo,Levante,16.02.2019,1,4,2018-2019,58%,42%,14.0,14.0,7.0,8.0,4.0,3.0,3.0,3.0,18.0,16.0,5.0,7.0,3.0,1.0,4.0,6.0,12.0,17.0,1.0,1.0,440.0,322.0,364.0,261.0,17.0,13.0,116.0,77.0,44.0,34.0,60%,40%,4.0,8.0,2.0,4.0,0.0,3.0,2.0,1.0,6.0,12.0,0.0,5.0,2.0,0.0,2.0,2.0,9.0,7.0,234.0,146.0,194.0,116.0,11.0,6.0,58.0,37.0,15.0,19.0,56%,44%,10.0,6.0,5.0,4.0,4.0,0.0,1.0,2.0,12.0,4.0,5.0,2.0,1.0,1.0,2.0,4.0,3.0,10.0,0.0,1.0,206.0,176.0,170.0,145.0,6.0,7.0,58.0,40.0,29.0,15.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laliga-2018-2019-2019-02-16-Rayo Vallecano-Atl. Madrid,laliga,home,Rayo Vallecano,Atl. Madrid,16.02.2019,0,1,2018-2019,49%,51%,12.0,4.0,6.0,3.0,5.0,1.0,1.0,0.0,14.0,9.0,4.0,6.0,0.0,2.0,2.0,6.0,10.0,14.0,0.0,1.0,406.0,409.0,306.0,297.0,23.0,26.0,133.0,131.0,37.0,59.0,54%,46%,5.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,9.0,6.0,1.0,1.0,0.0,1.0,1.0,2.0,7.0,8.0,227.0,188.0,174.0,129.0,12.0,18.0,75.0,63.0,17.0,23.0,44%,56%,7.0,2.0,4.0,2.0,3.0,0.0,0.0,0.0,5.0,3.0,3.0,5.0,0.0,1.0,1.0,4.0,3.0,6.0,0.0,1.0,179.0,221.0,132.0,168.0,11.0,8.0,58.0,68.0,20.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
