match,league,home/away,team,opponent,date,goals,opponent goals,season,Match Ball Possession,opponent Match Ball Possession,Match Goal Attempts,opponent Match Goal Attempts,Match Shots on Goal,opponent Match Shots on Goal,Match Shots off Goal,opponent Match Shots off Goal,Match Blocked Shots,opponent Match Blocked Shots,Match Free Kicks,opponent Match Free Kicks,Match Corner Kicks,opponent Match Corner Kicks,Match Offsides,opponent Match Offsides,Match Goalkeeper Saves,opponent Match Goalkeeper Saves,Match Fouls,opponent Match Fouls,Match Yellow Cards,opponent Match Yellow Cards,Match Total Passes,opponent Match Total Passes,Match Tackles,opponent Match Tackles,Match Attacks,opponent Match Attacks,Match Dangerous Attacks,opponent Match Dangerous Attacks,1st half Ball Possession,opponent 1st half Ball Possession,1st half Goal Attempts,opponent 1st half Goal Attempts,1st half Shots on Goal,opponent 1st half Shots on Goal,1st half Shots off Goal,opponent 1st half Shots off Goal,1st half Blocked Shots,opponent 1st half Blocked Shots,1st half Free Kicks,opponent 1st half Free Kicks,1st half Corner Kicks,opponent 1st half Corner Kicks,1st half Offsides,opponent 1st half Offsides,1st half Goalkeeper Saves,opponent 1st half Goalkeeper Saves,1st half Fouls,opponent 1st half Fouls,1st half Total Passes,opponent 1st half Total Passes,1st half Tackles,opponent 1st half Tackles,1st half Attacks,opponent 1st half Attacks,1st half Dangerous Attacks,opponent 1st half Dangerous Attacks,2nd half Ball Possession,opponent 2nd half Ball Possession,2nd half Goal Attempts,opponent 2nd half Goal Attempts,2nd half Shots on Goal,opponent 2nd half Shots on Goal,2nd half Shots off Goal,opponent 2nd half Shots off Goal,2nd half Blocked Shots,opponent 2nd half Blocked Shots,2nd half Free Kicks,opponent 2nd half Free Kicks,2nd half Corner Kicks,opponent 2nd half Corner Kicks,2nd half Offsides,opponent 2nd half Offsides,2nd half Goalkeeper Saves,opponent 2nd half Goalkeeper Saves,2nd half Fouls,opponent 2nd half Fouls,2nd half Yellow Cards,opponent 2nd half Yellow Cards,2nd half Total Passes,opponent 2nd half Total Passes,2nd half Tackles,opponent 2nd half Tackles,2nd half Attacks,opponent 2nd half Attacks,2nd half Dangerous Attacks,opponent 2nd half Dangerous Attacks,1st half Yellow Cards,opponent 1st half Yellow Cards,Match Red Cards,opponent Match Red Cards,1st half Red Cards,opponent 1st half Red Cards,2nd half Red Cards,opponent 2nd half Red Cards,Match Throw-in,opponent Match Throw-in,2nd half Throw-in,opponent 2nd half Throw-in
premier-league-2017-2018-2017-08-26-Bournemouth-Manchester City,premier-league,home,Bournemouth,Manchester City,26.08.2017,1,2,2017-2018,30%,70%,9,19,3,8,3,7,3,4,17,13,2,5,0,3,6,2,13,14,5.0,6.0,259,601,20,11,77.0,127.0,24.0,81.0,35%,65%,5,10,2,5,2,3,1,2,9,6,1,2,0,1,4,1,6,8,168,314,8,7,38.0,62.0,10.0,41.0,25%,75%,4,9,1,3,1,4,2,2,8,7,1,3,0,2,2,1,7,6,4.0,6.0,91,287,12,4,39.0,65.0,14.0,40.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-08-26-Crystal Palace-Swansea,premier-league,home,Crystal Palace,Swansea,26.08.2017,0,2,2017-2018,53%,47%,16,7,3,3,12,2,1,2,9,9,1,1,0,3,1,3,9,6,4.0,1.0,504,464,16,20,86.0,87.0,57.0,41.0,40%,60%,5,5,0,1,5,2,0,2,3,2,0,1,0,2,0,0,2,2,218,331,9,4,43.0,48.0,21.0,18.0,66%,34%,11,2,3,2,7,0,1,0,6,7,1,0,0,1,1,3,7,4,3.0,1.0,286,133,7,16,43.0,39.0,36.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-08-26-Huddersfield-Southampton,premier-league,home,Huddersfield,Southampton,26.08.2017,0,0,2017-2018,45%,55%,16,6,6,3,4,3,6,0,13,10,5,4,0,3,3,6,10,10,0.0,1.0,378,502,17,16,144.0,131.0,98.0,57.0,49%,51%,9,2,5,0,1,2,3,0,6,6,4,1,0,1,0,5,6,5,206,233,10,9,79.0,59.0,55.0,23.0,41%,59%,7,4,1,3,3,1,3,0,7,4,1,3,0,2,3,1,4,5,0.0,0.0,172,269,7,7,65.0,72.0,43.0,34.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-08-26-Manchester Utd-Leicester,premier-league,home,Manchester Utd,Leicester,26.08.2017,2,0,2017-2018,69%,31%,22,11,7,4,7,5,8,2,9,10,9,3,2,3,4,5,8,7,1.0,2.0,662,300,9,22,115.0,82.0,89.0,34.0,67%,33%,14,2,3,1,6,1,5,0,6,6,2,0,1,2,1,3,4,3,317,155,5,9,50.0,39.0,43.0,11.0,71%,29%,8,9,4,3,1,4,3,2,3,4,7,3,1,1,3,2,4,4,1.0,2.0,345,145,4,13,65.0,43.0,46.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-08-26-Newcastle-West Ham,premier-league,home,Newcastle,West Ham,26.08.2017,3,0,2017-2018,37%,63%,17,8,8,3,5,5,4,0,13,17,7,5,0,2,3,5,17,11,1.0,3.0,271,473,14,17,76.0,102.0,57.0,33.0,40%,60%,6,3,3,0,2,3,1,0,5,9,3,4,0,2,0,2,9,3,137,207,6,9,38.0,48.0,27.0,18.0,34%,66%,11,5,5,3,3,2,3,0,8,8,4,1,0,0,3,3,8,8,1.0,2.0,134,266,8,8,38.0,54.0,30.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-08-26-Watford-Brighton,premier-league,home,Watford,Brighton,26.08.2017,0,0,2017-2018,42%,58%,8,16,0,2,5,8,3,6,23,7,3,11,0,5,2,0,7,18,0.0,1.0,334,436,10,11,83.0,79.0,64.0,78.0,45%,55%,3,9,0,1,1,4,2,4,10,4,2,3,0,2,1,0,4,8,200,232,4,4,46.0,39.0,35.0,35.0,39%,61%,5,7,0,1,4,4,1,2,13,3,1,8,0,3,1,0,3,10,0.0,0.0,134,204,6,7,37.0,40.0,29.0,43.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-08-27-Chelsea-Everton,premier-league,home,Chelsea,Everton,27.08.2017,2,0,2017-2018,57%,43%,18,7,7,0,4,5,7,2,7,12,6,3,0,0,0,5,12,7,2.0,2.0,584,437,13,18,118.0,103.0,96.0,70.0,50%,50%,9,1,5,0,1,1,3,0,4,5,2,0,0,0,0,3,5,4,277,274,6,12,59.0,58.0,48.0,35.0,64%,36%,9,6,2,0,3,4,4,2,3,7,4,3,0,0,0,2,7,3,2.0,1.0,307,163,7,6,59.0,45.0,48.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-08-27-Liverpool-Arsenal,premier-league,home,Liverpool,Arsenal,27.08.2017,4,0,2017-2018,49%,51%,18,8,10,0,5,6,3,2,13,9,4,3,3,5,0,6,6,9,2.0,4.0,508,538,22,12,96.0,77.0,63.0,37.0,55%,45%,10,2,4,0,4,1,2,1,8,6,2,1,3,3,0,2,3,5,310,259,9,7,47.0,40.0,29.0,15.0,43%,57%,8,6,6,0,1,5,1,1,5,3,2,2,0,2,0,4,3,4,0.0,2.0,198,279,13,5,49.0,37.0,34.0,22.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-08-27-Tottenham-Burnley,premier-league,home,Tottenham,Burnley,27.08.2017,1,1,2017-2018,67%,33%,28,13,5,3,6,8,17,2,15,10,10,7,1,6,2,4,9,9,0.0,0.0,586,272,7,15,105.0,66.0,113.0,71.0,71%,29%,15,6,0,0,4,4,11,2,5,7,6,5,1,1,0,0,6,4,313,121,3,4,57.0,31.0,56.0,30.0,63%,37%,13,7,5,3,2,4,6,0,10,3,4,2,0,5,2,4,3,5,0.0,0.0,273,151,4,11,48.0,35.0,57.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-08-27-West Brom-Stoke,premier-league,home,West Brom,Stoke,27.08.2017,1,1,2017-2018,43%,57%,10,16,2,2,7,9,1,5,9,12,10,4,2,0,1,1,10,9,2.0,2.0,309,433,14,17,85.0,94.0,53.0,52.0,40%,60%,2,8,0,1,2,6,0,1,5,5,5,3,1,0,1,0,4,5,136,220,6,7,43.0,46.0,22.0,26.0,46%,54%,8,8,2,1,5,3,1,4,4,7,5,1,1,0,0,1,6,4,2.0,1.0,173,213,8,10,42.0,48.0,31.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-09-09-Arsenal-Bournemouth,premier-league,home,Arsenal,Bournemouth,09.09.2017,3,0,2017-2018,59%,41%,17,7,9,2,4,5,4,0,10,18,10,3,4,0,2,6,14,10,0.0,1.0,583,401,16,11,103.0,59.0,61.0,30.0,58%,42%,8,0,5,0,1,0,2,0,3,10,6,1,1,0,0,3,9,3,306,226,7,4,41.0,20.0,23.0,4.0,60%,40%,9,7,4,2,3,5,2,0,7,8,4,2,3,0,2,3,5,7,0.0,1.0,277,175,9,7,62.0,39.0,38.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-09-09-Brighton-West Brom,premier-league,home,Brighton,West Brom,09.09.2017,3,1,2017-2018,49%,51%,12,11,6,2,3,6,3,3,5,10,2,6,1,1,1,3,9,4,2.0,0.0,448,461,17,8,70.0,91.0,43.0,71.0,59%,41%,9,3,3,1,3,0,3,2,4,6,0,1,1,0,1,2,5,4,284,192,0,5,36.0,36.0,19.0,17.0,39%,61%,3,8,3,1,0,6,0,1,1,4,2,5,0,1,0,1,4,0,2.0,0.0,164,269,17,3,34.0,55.0,24.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-09-09-Everton-Tottenham,premier-league,home,Everton,Tottenham,09.09.2017,0,3,2017-2018,51%,49%,12,15,1,6,5,6,6,3,16,19,7,3,4,3,3,1,14,14,3.0,1.0,464,458,15,11,92.0,93.0,42.0,52.0,51%,49%,4,9,0,3,3,3,1,3,11,7,2,2,3,2,1,0,4,10,225,210,3,5,31.0,33.0,13.0,17.0,51%,49%,8,6,1,3,2,3,5,0,5,12,5,1,1,1,2,1,10,4,2.0,0.0,239,248,12,6,61.0,60.0,29.0,35.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-09-09-Leicester-Chelsea,premier-league,home,Leicester,Chelsea,09.09.2017,1,2,2017-2018,40%,60%,8,16,2,6,3,5,3,5,10,12,2,9,1,3,4,1,11,8,1.0,0.0,347,521,17,21,69.0,83.0,59.0,65.0,33%,67%,5,6,1,4,1,0,3,2,7,4,1,7,0,1,3,1,4,6,144,288,10,7,19.0,32.0,16.0,25.0,47%,53%,3,10,1,2,2,5,0,3,3,8,1,2,1,2,1,0,7,2,1.0,0.0,203,233,7,14,50.0,51.0,43.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-09-09-Manchester City-Liverpool,premier-league,home,Manchester City,Liverpool,09.09.2017,5,0,2017-2018,66%,34%,13,7,10,3,3,2,0,2,11,14,8,3,5,2,3,5,10,9,2.0,2.0,730,372,14,15,103.0,75.0,70.0,42.0,60%,40%,7,7,6,3,1,2,0,2,7,7,5,2,3,1,3,4,5,6,274,183,9,9,45.0,42.0,34.0,25.0,72%,28%,6,0,4,0,2,0,0,0,4,7,3,1,2,1,0,1,5,3,0.0,1.0,456,189,5,6,58.0,33.0,36.0,17.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-09-09-Southampton-Watford,premier-league,home,Southampton,Watford,09.09.2017,0,2,2017-2018,52%,48%,9,12,1,3,3,5,5,4,12,10,7,4,2,1,1,1,8,11,0.0,0.0,423,384,17,18,100.0,73.0,69.0,41.0,42%,58%,0,6,0,1,0,2,0,3,3,6,1,3,1,0,0,0,5,3,171,229,7,9,24.0,21.0,11.0,15.0,62%,38%,9,6,1,2,3,3,5,1,9,4,6,1,1,1,1,1,3,8,0.0,0.0,252,155,10,9,76.0,52.0,58.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-09-09-Stoke-Manchester Utd,premier-league,home,Stoke,Manchester Utd,09.09.2017,2,2,2017-2018,37%,63%,10,18,5,8,4,5,1,5,14,10,5,11,1,4,6,3,10,10,0.0,0.0,332,564,19,9,75.0,91.0,39.0,78.0,30%,70%,6,7,3,4,2,1,1,2,6,5,2,4,0,2,3,2,5,4,150,257,7,2,34.0,50.0,18.0,40.0,44%,56%,4,11,2,4,2,4,0,3,8,5,3,7,1,2,3,1,5,6,0.0,0.0,182,307,12,7,41.0,41.0,21.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-09-10-Burnley-Crystal Palace,premier-league,home,Burnley,Crystal Palace,10.09.2017,1,0,2017-2018,35%,65%,4,23,2,4,2,6,0,13,14,14,3,13,8,1,4,1,7,14,1.0,1.0,254,450,18,12,93.0,110.0,38.0,78.0,41%,59%,3,8,1,2,2,2,0,4,6,8,2,7,3,0,2,0,5,7,147,215,7,7,47.0,52.0,18.0,34.0,29%,71%,1,15,1,2,0,4,0,9,8,6,1,6,5,1,2,1,2,7,0.0,1.0,107,235,11,5,46.0,58.0,20.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-09-10-Swansea-Newcastle,premier-league,home,Swansea,Newcastle,10.09.2017,0,1,2017-2018,62%,38%,10,16,4,8,5,3,1,5,15,12,7,5,1,0,7,4,11,15,2.0,3.0,525,329,13,20,132.0,96.0,88.0,64.0,66%,34%,4,8,1,4,2,2,1,2,7,8,1,2,1,0,4,1,7,7,283,146,7,9,73.0,37.0,45.0,26.0,58%,42%,6,8,3,4,3,1,0,3,8,4,6,3,0,0,3,3,4,8,2.0,2.0,242,183,6,11,59.0,59.0,43.0,38.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-09-11-West Ham-Huddersfield,premier-league,home,West Ham,Huddersfield,11.09.2017,2,0,2017-2018,43%,57%,19,10,3,2,10,1,6,7,15,11,10,3,0,1,2,1,11,14,1.0,2.0,311,426,20,19,94.0,80.0,63.0,37.0,48%,52%,12,1,1,0,7,0,4,1,10,7,7,0,0,0,0,1,7,10,179,211,9,9,48.0,41.0,35.0,10.0,38%,62%,7,9,2,2,3,1,2,6,5,4,3,3,0,1,2,0,4,4,1.0,0.0,132,215,11,10,46.0,39.0,28.0,27.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-09-15-Bournemouth-Brighton,premier-league,home,Bournemouth,Brighton,15.09.2017,2,1,2017-2018,63%,37%,15,9,3,2,5,5,7,2,13,6,6,4,1,1,1,1,5,11,0.0,0.0,649,392,11,18,128.0,108.0,91.0,57.0,68%,32%,7,2,1,0,3,2,3,0,6,2,1,0,0,0,0,1,2,6,422,198,7,10,71.0,58.0,47.0,22.0,58%,42%,8,7,2,2,2,3,4,2,7,4,5,4,1,1,1,0,3,5,0.0,0.0,227,194,4,8,57.0,50.0,44.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-09-16-Crystal Palace-Southampton,premier-league,home,Crystal Palace,Southampton,16.09.2017,0,1,2017-2018,45%,55%,14,13,3,4,9,4,2,5,14,14,5,5,0,1,3,3,14,13,5.0,1.0,398,494,15,14,84.0,104.0,45.0,54.0,37%,63%,7,8,1,3,5,2,1,3,9,6,3,0,0,1,2,1,6,8,181,312,6,7,43.0,51.0,18.0,28.0,53%,47%,7,5,2,1,4,2,1,2,5,8,2,5,0,0,1,2,8,5,4.0,1.0,217,182,9,7,41.0,53.0,27.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-09-16-Huddersfield-Leicester,premier-league,home,Huddersfield,Leicester,16.09.2017,1,1,2017-2018,60%,40%,15,10,3,1,6,4,6,5,7,8,8,4,3,2,0,2,6,6,1.0,1.0,483,336,15,8,92.0,84.0,89.0,64.0,63%,37%,9,5,1,0,2,2,6,3,2,4,5,2,1,0,0,1,3,2,242,148,11,4,43.0,37.0,46.0,31.0,57%,43%,6,5,2,1,4,2,0,2,5,4,3,2,2,2,0,1,3,4,0.0,1.0,241,188,4,4,49.0,47.0,43.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-09-16-Liverpool-Burnley,premier-league,home,Liverpool,Burnley,16.09.2017,1,1,2017-2018,71%,29%,35,5,9,4,14,1,12,0,14,8,12,2,1,5,3,8,7,9,1.0,2.0,676,277,6,11,164.0,103.0,121.0,41.0,69%,31%,15,2,5,1,3,1,7,0,8,4,4,0,0,3,0,4,4,5,357,159,2,4,84.0,55.0,53.0,22.0,73%,27%,20,3,4,3,11,0,5,0,6,4,8,2,1,2,3,4,3,4,1.0,2.0,319,118,4,7,80.0,48.0,68.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-09-16-Newcastle-Stoke,premier-league,home,Newcastle,Stoke,16.09.2017,2,1,2017-2018,42%,58%,14,13,3,4,6,7,5,2,12,14,7,5,2,1,3,1,13,11,3.0,1.0,151,177,0,4,117.0,142.0,79.0,91.0,45%,55%,7,3,2,1,3,1,2,1,7,5,2,2,0,1,1,1,6,6,151,177,0,4,66.0,79.0,48.0,45.0,39%,61%,7,10,1,3,3,6,3,1,5,9,5,3,2,0,2,0,7,5,2.0,0.0,0,0,0,0,51.0,63.0,31.0,46.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-09-16-Tottenham-Swansea,premier-league,home,Tottenham,Swansea,16.09.2017,0,0,2017-2018,75%,25%,26,4,8,0,14,4,4,0,9,11,11,1,0,0,0,8,11,9,1.0,3.0,757,257,14,17,122.0,66.0,92.0,18.0,69%,31%,10,3,3,0,5,3,2,0,5,5,4,1,0,0,0,3,5,5,364,163,8,8,61.0,42.0,38.0,9.0,81%,19%,16,1,5,0,9,1,2,0,4,6,7,0,0,0,0,5,6,4,1.0,3.0,393,94,6,9,61.0,24.0,54.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-09-16-Watford-Manchester City,premier-league,home,Watford,Manchester City,16.09.2017,0,6,2017-2018,33%,67%,7,28,1,10,5,10,1,8,6,9,3,11,2,0,4,1,8,6,2.0,0.0,312,637,7,19,61.0,94.0,25.0,79.0,29%,71%,2,14,0,5,2,5,0,4,3,5,0,5,1,0,2,0,4,3,146,344,4,9,26.0,54.0,6.0,45.0,37%,63%,5,14,1,5,3,5,1,4,3,4,3,6,1,0,2,1,4,3,0.0,0.0,166,293,3,10,35.0,40.0,19.0,34.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-09-16-West Brom-West Ham,premier-league,home,West Brom,West Ham,16.09.2017,0,0,2017-2018,37%,63%,6,9,1,1,3,5,2,3,10,18,2,3,3,2,1,1,15,7,2.0,2.0,160,256,2,4,87.0,136.0,36.0,73.0,38%,62%,4,6,0,1,3,3,1,2,4,7,2,2,2,1,1,0,5,2,160,256,2,4,42.0,63.0,17.0,34.0,36%,64%,2,3,1,0,0,2,1,1,6,11,0,1,1,1,0,1,10,5,2.0,1.0,0,0,0,0,45.0,73.0,19.0,39.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-09-17-Chelsea-Arsenal,premier-league,home,Chelsea,Arsenal,17.09.2017,0,0,2017-2018,51%,49%,13,11,4,2,3,5,6,4,17,14,5,1,4,2,2,4,11,15,2.0,3.0,527,518,13,18,129.0,120.0,72.0,61.0,49%,51%,4,10,2,2,1,5,1,3,8,4,2,1,3,1,2,2,1,7,283,291,7,8,57.0,69.0,21.0,37.0,53%,47%,9,1,2,0,2,0,5,1,9,10,3,0,1,1,0,2,10,8,2.0,3.0,244,227,6,10,72.0,51.0,51.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-09-17-Manchester Utd-Everton,premier-league,home,Manchester Utd,Everton,17.09.2017,4,0,2017-2018,49%,51%,16,7,7,3,5,2,4,2,16,17,4,1,2,3,3,3,15,14,1.0,1.0,476,510,14,22,130.0,127.0,91.0,46.0,53%,47%,6,2,3,0,1,2,2,0,5,9,2,0,0,1,0,2,9,4,284,259,8,11,72.0,58.0,51.0,20.0,45%,55%,10,5,4,3,4,0,2,2,11,8,2,1,2,2,3,1,6,10,1.0,1.0,192,251,6,11,58.0,69.0,40.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-09-23-Burnley-Huddersfield,premier-league,home,Burnley,Huddersfield,23.09.2017,0,0,2017-2018,52%,48%,4,9,2,2,1,5,1,2,16,14,3,4,5,3,2,2,9,14,3.0,2.0,456,417,15,25,105.0,90.0,31.0,35.0,52%,48%,2,2,0,0,1,1,1,1,6,8,3,2,3,2,0,0,5,5,230,210,6,13,57.0,48.0,20.0,14.0,52%,48%,2,7,2,2,0,4,0,1,10,6,0,2,2,1,2,2,4,9,1.0,1.0,226,207,9,12,48.0,42.0,11.0,21.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-09-23-Everton-Bournemouth,premier-league,home,Everton,Bournemouth,23.09.2017,2,1,2017-2018,51%,49%,12,8,3,4,5,2,4,2,12,14,4,6,3,1,3,1,12,11,3.0,1.0,426,415,19,13,80.0,81.0,78.0,79.0,52%,48%,4,1,1,1,2,0,1,0,8,7,2,3,1,1,1,1,6,7,244,225,11,8,45.0,45.0,38.0,40.0,50%,50%,8,7,2,3,3,2,3,2,4,7,2,3,2,0,2,0,6,4,2.0,1.0,182,190,8,5,35.0,36.0,40.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-09-23-Leicester-Liverpool,premier-league,home,Leicester,Liverpool,23.09.2017,2,3,2017-2018,43%,57%,12,23,7,6,2,9,3,8,14,16,3,6,4,1,3,5,13,14,3.0,3.0,360,486,15,14,86.0,94.0,50.0,51.0,41%,59%,7,10,4,3,2,3,1,4,4,11,3,3,3,0,1,3,8,5,181,259,9,7,35.0,46.0,24.0,26.0,45%,55%,5,13,3,3,0,6,2,4,10,5,0,3,1,1,2,2,5,9,1.0,2.0,179,227,6,7,51.0,48.0,26.0,25.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-09-23-Manchester City-Crystal Palace,premier-league,home,Manchester City,Crystal Palace,23.09.2017,5,0,2017-2018,72%,28%,25,5,9,0,8,2,8,3,8,6,8,2,0,1,0,4,6,7,3.0,1.0,724,281,6,16,142.0,97.0,116.0,41.0,69%,31%,12,4,3,0,5,1,4,3,4,4,4,0,0,0,0,2,4,4,350,159,2,11,76.0,61.0,63.0,26.0,75%,25%,13,1,6,0,3,1,4,0,4,2,4,2,0,1,0,2,2,3,2.0,1.0,374,122,4,5,66.0,36.0,53.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-09-23-Southampton-Manchester Utd,premier-league,home,Southampton,Manchester Utd,23.09.2017,0,1,2017-2018,61%,39%,14,9,4,4,6,3,4,2,12,14,8,4,3,2,3,4,12,9,1.0,4.0,544,368,18,16,106.0,70.0,62.0,34.0,51%,49%,5,6,1,3,2,2,2,1,6,7,2,4,3,2,2,1,4,4,234,228,12,5,52.0,36.0,25.0,24.0,71%,29%,9,3,3,1,4,1,2,1,6,7,6,0,0,0,1,3,8,5,0.0,3.0,310,140,6,11,54.0,34.0,37.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-09-23-Stoke-Chelsea,premier-league,home,Stoke,Chelsea,23.09.2017,0,4,2017-2018,44%,56%,13,7,2,4,7,3,4,0,15,5,5,0,0,1,0,2,5,14,2.0,2.0,407,547,18,26,119.0,113.0,95.0,48.0,45%,55%,5,2,0,2,2,0,3,0,6,3,4,0,0,0,0,0,3,6,225,293,9,12,65.0,63.0,58.0,22.0,43%,57%,8,5,2,2,5,3,1,0,9,2,1,0,0,1,0,2,2,8,2.0,2.0,182,254,9,14,54.0,50.0,37.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-09-23-Swansea-Watford,premier-league,home,Swansea,Watford,23.09.2017,1,2,2017-2018,51%,49%,10,8,3,4,3,2,4,2,19,9,5,4,0,3,2,2,9,16,1.0,3.0,429,433,21,17,91.0,83.0,71.0,61.0,42%,58%,5,6,0,2,2,2,3,2,11,4,2,2,0,2,1,0,4,9,23,59,7,6,44.0,37.0,29.0,36.0,60%,40%,5,2,3,2,1,0,1,0,8,5,3,2,0,1,1,2,5,7,1.0,1.0,406,374,14,11,47.0,46.0,42.0,25.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-09-23-West Ham-Tottenham,premier-league,home,West Ham,Tottenham,23.09.2017,2,3,2017-2018,49%,51%,10,15,4,5,5,7,1,3,25,16,4,3,6,5,2,2,10,20,4.0,4.0,367,394,19,19,118.0,103.0,55.0,48.0,38%,62%,1,9,0,4,1,3,0,2,11,7,0,2,5,3,2,0,2,8,153,244,13,10,57.0,57.0,16.0,25.0,60%,40%,9,6,4,1,4,4,1,1,14,9,4,1,1,2,0,2,8,12,4.0,4.0,214,150,6,9,61.0,46.0,39.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-09-24-Brighton-Newcastle,premier-league,home,Brighton,Newcastle,24.09.2017,1,0,2017-2018,49%,51%,7,17,3,5,2,7,2,5,8,7,2,8,1,0,5,2,6,8,2.0,1.0,438,458,16,14,106.0,100.0,63.0,70.0,57%,43%,5,7,1,2,2,4,2,1,0,0,1,2,1,0,2,1,3,4,245,178,7,8,62.0,45.0,36.0,35.0,41%,59%,2,10,2,3,0,3,0,4,8,7,1,6,0,0,3,1,3,4,1.0,1.0,193,280,9,6,44.0,55.0,27.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
