match,league,home/away,team,opponent,date,goals,opponent goals,season,Match Ball Possession,opponent Match Ball Possession,Match Goal Attempts,opponent Match Goal Attempts,Match Shots on Goal,opponent Match Shots on Goal,Match Shots off Goal,opponent Match Shots off Goal,Match Blocked Shots,opponent Match Blocked Shots,Match Free Kicks,opponent Match Free Kicks,Match Corner Kicks,opponent Match Corner Kicks,Match Offsides,opponent Match Offsides,Match Goalkeeper Saves,opponent Match Goalkeeper Saves,Match Fouls,opponent Match Fouls,Match Yellow Cards,opponent Match Yellow Cards,Match Total Passes,opponent Match Total Passes,Match Tackles,opponent Match Tackles,Match Attacks,opponent Match Attacks,Match Dangerous Attacks,opponent Match Dangerous Attacks,1st half Ball Possession,opponent 1st half Ball Possession,1st half Goal Attempts,opponent 1st half Goal Attempts,1st half Shots on Goal,opponent 1st half Shots on Goal,1st half Shots off Goal,opponent 1st half Shots off Goal,1st half Blocked Shots,opponent 1st half Blocked Shots,1st half Free Kicks,opponent 1st half Free Kicks,1st half Corner Kicks,opponent 1st half Corner Kicks,1st half Offsides,opponent 1st half Offsides,1st half Goalkeeper Saves,opponent 1st half Goalkeeper Saves,1st half Fouls,opponent 1st half Fouls,1st half Total Passes,opponent 1st half Total Passes,1st half Tackles,opponent 1st half Tackles,1st half Attacks,opponent 1st half Attacks,1st half Dangerous Attacks,opponent 1st half Dangerous Attacks,2nd half Ball Possession,opponent 2nd half Ball Possession,2nd half Goal Attempts,opponent 2nd half Goal Attempts,2nd half Shots on Goal,opponent 2nd half Shots on Goal,2nd half Shots off Goal,opponent 2nd half Shots off Goal,2nd half Blocked Shots,opponent 2nd half Blocked Shots,2nd half Free Kicks,opponent 2nd half Free Kicks,2nd half Corner Kicks,opponent 2nd half Corner Kicks,2nd half Offsides,opponent 2nd half Offsides,2nd half Goalkeeper Saves,opponent 2nd half Goalkeeper Saves,2nd half Fouls,opponent 2nd half Fouls,2nd half Yellow Cards,opponent 2nd half Yellow Cards,2nd half Total Passes,opponent 2nd half Total Passes,2nd half Tackles,opponent 2nd half Tackles,2nd half Attacks,opponent 2nd half Attacks,2nd half Dangerous Attacks,opponent 2nd half Dangerous Attacks,1st half Yellow Cards,opponent 1st half Yellow Cards,Match Red Cards,opponent Match Red Cards,1st half Red Cards,opponent 1st half Red Cards,2nd half Red Cards,opponent 2nd half Red Cards,Match Throw-in,opponent Match Throw-in,2nd half Throw-in,opponent 2nd half Throw-in
premier-league-2017-2018-2017-11-26-Huddersfield-Manchester City,premier-league,home,Huddersfield,Manchester City,26.11.2017,1,2,2017-2018,21%,79%,4,14,0,5,3,7,1,2,13,12,3,7,3,3,3,0,10,10,2.0,3.0,185,732,16,20,54.0,82.0,28.0,62.0,23%,77%,2,8,0,1,2,5,0,2,6,3,2,6,1,2,1,0,2,4,106,349,9,10,30.0,42.0,17.0,29.0,19%,81%,2,6,0,4,1,2,1,0,7,9,1,1,2,1,2,0,8,6,2.0,3.0,79,383,7,10,24.0,40.0,11.0,33.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-11-26-Southampton-Everton,premier-league,home,Southampton,Everton,26.11.2017,4,1,2017-2018,67%,33%,17,5,5,2,7,3,5,0,13,6,7,2,0,0,1,1,6,13,0.0,0.0,661,327,18,11,97.0,76.0,64.0,22.0,71%,29%,7,2,1,1,4,1,2,0,6,0,3,2,0,0,0,0,0,6,364,152,12,6,57.0,42.0,33.0,11.0,63%,37%,10,3,4,1,3,2,3,0,7,6,4,0,0,0,1,1,6,7,0.0,0.0,297,175,6,5,40.0,34.0,31.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-11-28-Brighton-Crystal Palace,premier-league,home,Brighton,Crystal Palace,28.11.2017,0,0,2017-2018,53%,47%,9,11,4,4,4,6,1,1,8,18,10,5,5,0,4,4,13,8,2.0,0.0,452,403,15,10,103.0,87.0,97.0,80.0,49%,51%,5,4,3,2,1,2,1,0,3,10,2,2,2,0,2,3,8,3,238,247,8,6,46.0,43.0,41.0,40.0,58%,42%,4,7,1,2,3,4,0,1,5,8,8,3,3,0,2,1,5,5,2.0,0.0,214,156,7,4,57.0,44.0,56.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-11-28-Leicester-Tottenham,premier-league,home,Leicester,Tottenham,28.11.2017,2,1,2017-2018,37%,63%,7,18,4,6,3,9,0,3,10,9,4,9,2,1,5,2,7,10,1.0,2.0,337,563,23,19,90.0,121.0,61.0,114.0,43%,57%,6,6,4,3,2,1,0,2,3,5,3,4,1,1,3,2,4,4,197,268,11,8,40.0,58.0,36.0,51.0,30%,70%,1,12,0,3,1,8,0,1,7,4,1,5,1,0,2,0,3,6,1.0,1.0,140,295,12,11,50.0,63.0,25.0,63.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-11-28-Watford-Manchester Utd,premier-league,home,Watford,Manchester Utd,28.11.2017,2,4,2017-2018,59%,41%,12,15,3,7,5,3,4,5,12,12,5,5,0,0,3,1,12,10,2.0,1.0,496,346,16,14,101.0,93.0,63.0,50.0,55%,45%,2,7,0,5,1,0,1,2,4,6,1,3,0,0,2,0,6,4,231,193,9,9,44.0,59.0,21.0,26.0,63%,37%,10,8,3,2,4,3,3,3,8,6,4,2,0,0,1,1,6,6,0.0,0.0,265,153,7,5,57.0,34.0,42.0,24.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-11-28-West Brom-Newcastle,premier-league,home,West Brom,Newcastle,28.11.2017,2,2,2017-2018,48%,52%,8,14,4,4,2,5,2,5,14,13,1,6,0,2,2,2,13,12,0.0,0.0,401,435,21,17,128.0,130.0,76.0,89.0,56%,44%,5,8,2,1,2,3,1,4,7,7,1,1,0,0,1,1,7,7,249,194,9,8,71.0,60.0,47.0,30.0,39%,61%,3,6,2,3,0,2,1,1,7,6,0,5,0,2,1,1,6,5,0.0,0.0,152,241,12,9,57.0,70.0,29.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-11-29-Arsenal-Huddersfield,premier-league,home,Arsenal,Huddersfield,29.11.2017,5,0,2017-2018,70%,30%,17,7,7,2,7,3,3,2,15,12,7,2,2,3,2,2,10,12,0.0,1.0,809,332,19,13,108.0,71.0,47.0,22.0,69%,31%,6,3,2,1,3,1,1,1,7,6,2,1,0,2,1,1,6,5,411,182,7,9,47.0,42.0,20.0,9.0,71%,29%,11,4,5,1,4,2,2,1,8,6,5,1,2,1,1,1,4,7,0.0,1.0,398,150,12,4,61.0,29.0,27.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-11-29-Bournemouth-Burnley,premier-league,home,Bournemouth,Burnley,29.11.2017,1,2,2017-2018,62%,38%,10,10,2,4,4,2,4,4,12,9,4,6,0,1,2,1,9,11,0.0,1.0,572,350,13,18,118.0,113.0,94.0,81.0,55%,45%,6,8,0,3,2,1,4,4,3,5,2,6,0,0,2,0,5,4,255,196,6,7,54.0,62.0,39.0,56.0,69%,31%,4,2,2,1,2,1,0,0,9,4,2,0,0,1,0,1,4,7,0.0,1.0,317,154,7,11,64.0,51.0,55.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-11-29-Chelsea-Swansea,premier-league,home,Chelsea,Swansea,29.11.2017,1,0,2017-2018,61%,39%,21,2,10,0,7,1,4,1,9,10,15,1,0,0,0,9,10,7,1.0,0.0,607,404,22,16,118.0,105.0,117.0,41.0,63%,37%,12,0,6,0,4,0,2,0,3,4,7,0,0,0,0,6,4,3,319,196,9,7,72.0,58.0,63.0,15.0,59%,41%,9,2,4,0,3,1,2,1,6,6,8,1,0,0,0,3,6,4,1.0,0.0,288,208,13,9,46.0,47.0,54.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-11-29-Everton-West Ham,premier-league,home,Everton,West Ham,29.11.2017,4,0,2017-2018,44%,56%,8,7,5,3,2,3,1,1,6,17,2,6,2,1,3,1,16,6,2.0,1.0,411,508,18,12,94.0,106.0,36.0,55.0,47%,53%,3,0,3,0,0,0,0,0,4,9,1,4,1,1,0,1,8,4,233,249,7,6,53.0,47.0,18.0,18.0,41%,59%,5,7,2,3,2,3,1,1,2,8,1,2,1,0,3,0,8,2,1.0,0.0,178,259,11,6,41.0,59.0,18.0,37.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premier-league-2017-2018-2017-11-29-Manchester City-Southampton,premier-league,home,Manchester City,Southampton,29.11.2017,2,1,2017-2018,75%,25%,26,6,12,2,8,3,6,1,13,13,6,5,1,1,1,10,12,11,1.0,1.0,779,270,15,14,101.0,71.0,99.0,36.0,73%,27%,12,3,7,1,3,2,2,0,5,8,2,4,1,0,1,7,7,5,391,147,3,9,49.0,37.0,44.0,21.0,77%,23%,14,3,5,1,5,1,4,1,8,5,4,1,0,1,0,3,5,6,0.0,1.0,388,123,12,5,52.0,34.0,55.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
