match,league,home/away,team,opponent,date,goals,opponent goals,season,Match Ball Possession,opponent Match Ball Possession,Match Goal Attempts,opponent Match Goal Attempts,Match Shots on Goal,opponent Match Shots on Goal,Match Shots off Goal,opponent Match Shots off Goal,Match Blocked Shots,opponent Match Blocked Shots,Match Free Kicks,opponent Match Free Kicks,Match Corner Kicks,opponent Match Corner Kicks,Match Offsides,opponent Match Offsides,Match Goalkeeper Saves,opponent Match Goalkeeper Saves,Match Fouls,opponent Match Fouls,Match Yellow Cards,opponent Match Yellow Cards,1st half Ball Possession,opponent 1st half Ball Possession,1st half Goal Attempts,opponent 1st half Goal Attempts,1st half Shots on Goal,opponent 1st half Shots on Goal,1st half Shots off Goal,opponent 1st half Shots off Goal,1st half Blocked Shots,opponent 1st half Blocked Shots,1st half Free Kicks,opponent 1st half Free Kicks,1st half Corner Kicks,opponent 1st half Corner Kicks,1st half Offsides,opponent 1st half Offsides,1st half Goalkeeper Saves,opponent 1st half Goalkeeper Saves,1st half Fouls,opponent 1st half Fouls,2nd half Ball Possession,opponent 2nd half Ball Possession,2nd half Goal Attempts,opponent 2nd half Goal Attempts,2nd half Shots on Goal,opponent 2nd half Shots on Goal,2nd half Shots off Goal,opponent 2nd half Shots off Goal,2nd half Blocked Shots,opponent 2nd half Blocked Shots,2nd half Free Kicks,opponent 2nd half Free Kicks,2nd half Corner Kicks,opponent 2nd half Corner Kicks,2nd half Offsides,opponent 2nd half Offsides,2nd half Goalkeeper Saves,opponent 2nd half Goalkeeper Saves,2nd half Fouls,opponent 2nd half Fouls,2nd half Yellow Cards,opponent 2nd half Yellow Cards,1st half Yellow Cards,opponent 1st half Yellow Cards,Match Red Cards,opponent Match Red Cards,2nd half Red Cards,opponent 2nd half Red Cards,1st half Red Cards,opponent 1st half Red Cards,Match Throw-in,opponent Match Throw-in,2nd half Throw-in,opponent 2nd half Throw-in
serie-a-2016-2017-2016-09-10-Juventus-Sassuolo,serie-a,home,Juventus,Sassuolo,10.09.2016,3,1,2016-2017,71%,29%,23.0,9.0,10.0,3.0,7.0,4.0,6.0,2.0,13.0,13.0,14.0,5.0,3.0,1.0,2.0,7.0,10.0,12.0,1.0,2.0,70%,30%,12.0,5.0,5.0,3.0,4.0,1.0,3.0,1.0,5.0,6.0,5.0,2.0,3.0,0.0,2.0,2.0,3.0,5.0,72%,28%,11.0,4.0,5.0,0.0,3.0,3.0,3.0,1.0,8.0,7.0,9.0,3.0,0.0,1.0,0.0,5.0,7.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2016-2017-2016-09-10-Palermo-Napoli,serie-a,home,Palermo,Napoli,10.09.2016,0,3,2016-2017,39%,61%,5.0,17.0,1.0,7.0,1.0,6.0,3.0,4.0,7.0,16.0,2.0,4.0,4.0,2.0,4.0,1.0,14.0,7.0,0.0,0.0,38%,62%,1.0,10.0,1.0,2.0,0.0,6.0,0.0,2.0,4.0,7.0,0.0,2.0,1.0,2.0,2.0,1.0,7.0,3.0,40%,60%,4.0,7.0,0.0,5.0,1.0,0.0,3.0,2.0,3.0,9.0,2.0,2.0,3.0,0.0,2.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2016-2017-2016-09-11-AC Milan-Udinese,serie-a,home,AC Milan,Udinese,11.09.2016,0,1,2016-2017,64%,36%,14.0,10.0,2.0,2.0,5.0,3.0,7.0,5.0,9.0,12.0,8.0,8.0,3.0,0.0,1.0,2.0,10.0,9.0,1.0,5.0,62%,38%,10.0,6.0,0.0,1.0,3.0,1.0,7.0,4.0,5.0,6.0,5.0,6.0,2.0,0.0,1.0,0.0,4.0,5.0,66%,34%,4.0,4.0,2.0,1.0,2.0,2.0,0.0,1.0,4.0,6.0,3.0,2.0,1.0,0.0,0.0,2.0,6.0,4.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2016-2017-2016-09-11-AS Roma-Sampdoria,serie-a,home,AS Roma,Sampdoria,11.09.2016,3,2,2016-2017,59%,41%,24.0,12.0,8.0,7.0,11.0,1.0,5.0,4.0,6.0,8.0,11.0,7.0,6.0,1.0,5.0,5.0,12.0,13.0,2.0,2.0,54%,46%,7.0,10.0,1.0,6.0,3.0,1.0,3.0,3.0,6.0,8.0,3.0,5.0,4.0,0.0,4.0,0.0,4.0,6.0,64%,36%,17.0,2.0,7.0,1.0,8.0,0.0,2.0,1.0,0.0,0.0,8.0,2.0,2.0,1.0,1.0,5.0,8.0,7.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2016-2017-2016-09-11-Atalanta-Torino,serie-a,home,Atalanta,Torino,11.09.2016,2,1,2016-2017,49%,51%,22.0,14.0,3.0,7.0,12.0,5.0,7.0,2.0,20.0,19.0,4.0,4.0,2.0,1.0,6.0,1.0,16.0,20.0,2.0,2.0,56%,44%,11.0,6.0,1.0,3.0,7.0,2.0,3.0,1.0,10.0,11.0,2.0,1.0,2.0,1.0,3.0,1.0,9.0,9.0,42%,58%,11.0,8.0,2.0,4.0,5.0,3.0,4.0,1.0,10.0,8.0,2.0,3.0,0.0,0.0,3.0,0.0,7.0,11.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2016-2017-2016-09-11-Bologna-Cagliari,serie-a,home,Bologna,Cagliari,11.09.2016,2,1,2016-2017,45%,55%,17.0,11.0,10.0,5.0,2.0,6.0,5.0,0.0,11.0,14.0,9.0,4.0,2.0,2.0,4.0,8.0,13.0,9.0,1.0,3.0,43%,57%,6.0,6.0,4.0,2.0,0.0,4.0,2.0,0.0,7.0,5.0,3.0,4.0,1.0,1.0,2.0,3.0,4.0,6.0,47%,53%,11.0,5.0,6.0,3.0,2.0,2.0,3.0,0.0,4.0,9.0,6.0,0.0,1.0,1.0,2.0,5.0,9.0,3.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2016-2017-2016-09-11-Chievo-Lazio,serie-a,home,Chievo,Lazio,11.09.2016,1,1,2016-2017,52%,48%,7.0,11.0,4.0,3.0,2.0,6.0,1.0,2.0,16.0,14.0,2.0,1.0,1.0,1.0,2.0,3.0,14.0,15.0,2.0,5.0,54%,46%,1.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,5.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0,4.0,50%,50%,6.0,8.0,3.0,3.0,2.0,5.0,1.0,0.0,11.0,8.0,2.0,0.0,0.0,0.0,2.0,2.0,9.0,11.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2016-2017-2016-09-11-Pescara-Inter,serie-a,home,Pescara,Inter,11.09.2016,1,2,2016-2017,37%,63%,10.0,22.0,5.0,7.0,4.0,8.0,1.0,7.0,9.0,16.0,3.0,13.0,3.0,0.0,5.0,4.0,14.0,10.0,1.0,1.0,36%,64%,5.0,8.0,1.0,3.0,3.0,2.0,1.0,3.0,6.0,4.0,0.0,8.0,1.0,0.0,3.0,1.0,3.0,7.0,38%,62%,5.0,14.0,4.0,4.0,1.0,6.0,0.0,4.0,3.0,12.0,3.0,5.0,2.0,0.0,2.0,3.0,11.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2016-2017-2016-09-12-Empoli-Crotone,serie-a,home,Empoli,Crotone,12.09.2016,2,1,2016-2017,54%,46%,13.0,6.0,4.0,2.0,6.0,2.0,3.0,2.0,27.0,18.0,5.0,0.0,2.0,7.0,1.0,3.0,16.0,20.0,1.0,3.0,55%,45%,7.0,2.0,4.0,1.0,1.0,0.0,2.0,1.0,14.0,7.0,2.0,0.0,1.0,3.0,0.0,3.0,6.0,11.0,53%,47%,6.0,4.0,0.0,1.0,5.0,2.0,1.0,1.0,13.0,11.0,3.0,0.0,1.0,4.0,1.0,0.0,10.0,9.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
serie-a-2016-2017-2016-09-16-Sampdoria-AC Milan,serie-a,home,Sampdoria,AC Milan,16.09.2016,0,1,2016-2017,52%,48%,12.0,10.0,3.0,3.0,5.0,2.0,4.0,5.0,19.0,14.0,8.0,5.0,2.0,3.0,2.0,3.0,12.0,16.0,2.0,3.0,50%,50%,9.0,5.0,2.0,0.0,4.0,2.0,3.0,3.0,12.0,3.0,3.0,3.0,0.0,2.0,0.0,2.0,3.0,10.0,54%,46%,3.0,5.0,1.0,3.0,1.0,0.0,1.0,2.0,7.0,11.0,5.0,2.0,2.0,1.0,2.0,1.0,9.0,6.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
