match,league,home/away,team,opponent,date,goals,opponent goals,season,Match Ball Possession,opponent Match Ball Possession,Match Goal Attempts,opponent Match Goal Attempts,Match Shots on Goal,opponent Match Shots on Goal,Match Shots off Goal,opponent Match Shots off Goal,Match Blocked Shots,opponent Match Blocked Shots,Match Free Kicks,opponent Match Free Kicks,Match Corner Kicks,opponent Match Corner Kicks,Match Offsides,opponent Match Offsides,Match Goalkeeper Saves,opponent Match Goalkeeper Saves,Match Fouls,opponent Match Fouls,Match Yellow Cards,opponent Match Yellow Cards,Match Total Passes,opponent Match Total Passes,Match Completed Passes,opponent Match Completed Passes,Match Tackles,opponent Match Tackles,Match Attacks,opponent Match Attacks,Match Dangerous Attacks,opponent Match Dangerous Attacks,1st half Ball Possession,opponent 1st half Ball Possession,1st half Goal Attempts,opponent 1st half Goal Attempts,1st half Shots on Goal,opponent 1st half Shots on Goal,1st half Shots off Goal,opponent 1st half Shots off Goal,1st half Blocked Shots,opponent 1st half Blocked Shots,1st half Free Kicks,opponent 1st half Free Kicks,1st half Corner Kicks,opponent 1st half Corner Kicks,1st half Offsides,opponent 1st half Offsides,1st half Goalkeeper Saves,opponent 1st half Goalkeeper Saves,1st half Fouls,opponent 1st half Fouls,1st half Yellow Cards,opponent 1st half Yellow Cards,1st half Total Passes,opponent 1st half Total Passes,1st half Completed Passes,opponent 1st half Completed Passes,1st half Tackles,opponent 1st half Tackles,1st half Attacks,opponent 1st half Attacks,1st half Dangerous Attacks,opponent 1st half Dangerous Attacks,2nd half Ball Possession,opponent 2nd half Ball Possession,2nd half Goal Attempts,opponent 2nd half Goal Attempts,2nd half Shots on Goal,opponent 2nd half Shots on Goal,2nd half Shots off Goal,opponent 2nd half Shots off Goal,2nd half Blocked Shots,opponent 2nd half Blocked Shots,2nd half Free Kicks,opponent 2nd half Free Kicks,2nd half Corner Kicks,opponent 2nd half Corner Kicks,2nd half Offsides,opponent 2nd half Offsides,2nd half Goalkeeper Saves,opponent 2nd half Goalkeeper Saves,2nd half Fouls,opponent 2nd half Fouls,2nd half Total Passes,opponent 2nd half Total Passes,2nd half Completed Passes,opponent 2nd half Completed Passes,2nd half Tackles,opponent 2nd half Tackles,2nd half Attacks,opponent 2nd half Attacks,2nd half Dangerous Attacks,opponent 2nd half Dangerous Attacks,2nd half Yellow Cards,opponent 2nd half Yellow Cards,Match Red Cards,opponent Match Red Cards,2nd half Red Cards,opponent 2nd half Red Cards,1st half Red Cards,opponent 1st half Red Cards
bundesliga-2018-2019-2019-03-02-Eintracht Frankfurt-Hoffenheim,bundesliga,home,Eintracht Frankfurt,Hoffenheim,02.03.2019,3,2,2018-2019,50%,50%,18.0,20.0,10.0,7.0,7.0,10.0,1.0,3.0,17.0,11.0,4.0,3.0,1.0,1.0,5.0,7.0,8.0,16.0,0.0,3.0,410.0,411.0,317.0,313.0,30.0,19.0,122.0,109.0,70.0,53.0,41%,59%,3.0,11.0,2.0,4.0,1.0,6.0,0.0,1.0,9.0,6.0,1.0,1.0,0.0,1.0,3.0,1.0,4.0,8.0,0.0,1.0,168.0,244.0,118.0,191.0,16.0,12.0,62.0,57.0,32.0,25.0,59%,41%,15.0,9.0,8.0,3.0,6.0,4.0,1.0,2.0,8.0,5.0,3.0,2.0,1.0,0.0,2.0,6.0,4.0,8.0,242.0,167.0,199.0,122.0,14.0,7.0,60.0,52.0,38.0,28.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0
bundesliga-2018-2019-2019-03-02-Hertha Berlin-Mainz,bundesliga,home,Hertha Berlin,Mainz,02.03.2019,2,1,2018-2019,60%,40%,11.0,13.0,4.0,1.0,4.0,9.0,3.0,3.0,11.0,13.0,4.0,1.0,0.0,2.0,0.0,2.0,13.0,10.0,0.0,2.0,572.0,378.0,453.0,252.0,17.0,16.0,152.0,127.0,42.0,41.0,63%,37%,2.0,4.0,0.0,0.0,1.0,4.0,1.0,0.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,322.0,187.0,256.0,122.0,6.0,6.0,83.0,73.0,15.0,17.0,57%,43%,9.0,9.0,4.0,1.0,3.0,5.0,2.0,3.0,8.0,4.0,3.0,1.0,0.0,2.0,0.0,2.0,4.0,7.0,250.0,191.0,197.0,130.0,11.0,10.0,69.0,54.0,27.0,24.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2018-2019-2019-03-02-Nurnberg-RB Leipzig,bundesliga,home,Nurnberg,RB Leipzig,02.03.2019,0,1,2018-2019,45%,55%,7.0,12.0,1.0,5.0,4.0,4.0,2.0,3.0,20.0,15.0,5.0,8.0,5.0,2.0,4.0,1.0,8.0,17.0,2.0,3.0,357.0,440.0,225.0,320.0,19.0,19.0,96.0,142.0,53.0,57.0,43%,57%,1.0,8.0,0.0,4.0,1.0,2.0,0.0,2.0,5.0,8.0,2.0,4.0,2.0,2.0,3.0,0.0,5.0,2.0,1.0,0.0,176.0,231.0,115.0,173.0,11.0,11.0,49.0,66.0,15.0,35.0,47%,53%,6.0,4.0,1.0,1.0,3.0,2.0,2.0,1.0,15.0,7.0,3.0,4.0,3.0,0.0,1.0,1.0,3.0,15.0,181.0,209.0,110.0,147.0,8.0,8.0,47.0,76.0,38.0,22.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2018-2019-2019-03-02-Schalke-Dusseldorf,bundesliga,home,Schalke,Dusseldorf,02.03.2019,0,4,2018-2019,55%,45%,7.0,13.0,2.0,5.0,4.0,6.0,1.0,2.0,18.0,17.0,1.0,1.0,1.0,0.0,1.0,2.0,16.0,16.0,4.0,2.0,422.0,336.0,311.0,239.0,22.0,24.0,151.0,90.0,36.0,25.0,53%,47%,2.0,4.0,0.0,1.0,1.0,3.0,1.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,3.0,2.0,222.0,187.0,167.0,139.0,12.0,12.0,79.0,38.0,17.0,10.0,57%,43%,5.0,9.0,2.0,4.0,3.0,3.0,0.0,2.0,7.0,9.0,1.0,1.0,1.0,0.0,1.0,2.0,8.0,5.0,200.0,149.0,144.0,100.0,10.0,12.0,72.0,52.0,19.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2018-2019-2019-03-03-Stuttgart-Hannover,bundesliga,home,Stuttgart,Hannover,03.03.2019,5,1,2018-2019,50%,50%,14.0,3.0,8.0,1.0,5.0,2.0,1.0,0.0,20.0,14.0,7.0,0.0,0.0,4.0,0.0,3.0,15.0,16.0,2.0,2.0,446.0,441.0,320.0,324.0,22.0,8.0,129.0,100.0,42.0,38.0,62%,38%,9.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,9.0,5.0,6.0,0.0,0.0,0.0,0.0,3.0,5.0,9.0,0.0,0.0,291.0,182.0,231.0,124.0,12.0,6.0,76.0,41.0,30.0,12.0,38%,62%,5.0,3.0,2.0,1.0,2.0,2.0,1.0,0.0,11.0,9.0,1.0,0.0,0.0,4.0,0.0,0.0,10.0,7.0,155.0,259.0,89.0,200.0,10.0,2.0,53.0,59.0,12.0,26.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2018-2019-2019-03-03-Wolfsburg-Werder Bremen,bundesliga,home,Wolfsburg,Werder Bremen,03.03.2019,1,1,2018-2019,58%,42%,13.0,12.0,5.0,3.0,3.0,7.0,5.0,2.0,23.0,12.0,6.0,4.0,3.0,0.0,2.0,4.0,8.0,22.0,0.0,2.0,484.0,337.0,390.0,241.0,11.0,13.0,142.0,88.0,55.0,43.0,63%,37%,5.0,3.0,1.0,0.0,1.0,3.0,3.0,0.0,8.0,5.0,4.0,0.0,1.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,289.0,169.0,246.0,117.0,5.0,7.0,81.0,29.0,36.0,11.0,53%,47%,8.0,9.0,4.0,3.0,2.0,4.0,2.0,2.0,15.0,7.0,2.0,4.0,2.0,0.0,2.0,3.0,5.0,15.0,195.0,168.0,144.0,124.0,6.0,6.0,61.0,59.0,19.0,32.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2018-2019-2019-03-08-Werder Bremen-Schalke,bundesliga,home,Werder Bremen,Schalke,08.03.2019,4,2,2018-2019,56%,44%,20.0,14.0,7.0,8.0,7.0,5.0,6.0,1.0,12.0,20.0,4.0,5.0,2.0,3.0,6.0,3.0,17.0,10.0,2.0,1.0,422.0,330.0,322.0,215.0,15.0,17.0,135.0,106.0,64.0,48.0,56%,44%,9.0,7.0,2.0,4.0,4.0,3.0,3.0,0.0,7.0,8.0,3.0,1.0,1.0,2.0,3.0,1.0,6.0,5.0,2.0,0.0,214.0,172.0,164.0,106.0,11.0,7.0,75.0,54.0,37.0,18.0,56%,44%,11.0,7.0,5.0,4.0,3.0,2.0,3.0,1.0,5.0,12.0,1.0,4.0,1.0,1.0,3.0,2.0,11.0,5.0,208.0,158.0,158.0,109.0,4.0,10.0,60.0,52.0,27.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2018-2019-2019-03-09-Bayern Munich-Wolfsburg,bundesliga,home,Bayern Munich,Wolfsburg,09.03.2019,6,0,2018-2019,60%,40%,22.0,4.0,12.0,1.0,7.0,2.0,3.0,1.0,11.0,12.0,7.0,2.0,2.0,3.0,1.0,6.0,9.0,6.0,0.0,1.0,588.0,389.0,520.0,310.0,13.0,11.0,116.0,83.0,83.0,19.0,66%,34%,10.0,2.0,4.0,0.0,4.0,1.0,2.0,1.0,6.0,5.0,3.0,1.0,0.0,1.0,0.0,2.0,5.0,5.0,0.0,0.0,334.0,171.0,299.0,131.0,11.0,6.0,66.0,42.0,44.0,8.0,54%,46%,12.0,2.0,8.0,1.0,3.0,1.0,1.0,0.0,5.0,7.0,4.0,1.0,2.0,2.0,1.0,4.0,4.0,1.0,254.0,218.0,221.0,179.0,2.0,5.0,50.0,41.0,39.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2018-2019-2019-03-09-Dortmund-Stuttgart,bundesliga,home,Dortmund,Stuttgart,09.03.2019,3,1,2018-2019,75%,25%,18.0,7.0,8.0,1.0,3.0,5.0,7.0,1.0,9.0,9.0,7.0,1.0,2.0,0.0,0.0,5.0,6.0,10.0,3.0,3.0,798.0,268.0,701.0,179.0,6.0,26.0,186.0,75.0,101.0,22.0,77%,23%,8.0,4.0,2.0,0.0,1.0,3.0,5.0,1.0,0.0,3.0,6.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,456.0,137.0,404.0,96.0,2.0,9.0,103.0,30.0,64.0,9.0,73%,27%,10.0,3.0,6.0,1.0,2.0,2.0,2.0,0.0,9.0,6.0,1.0,1.0,1.0,0.0,0.0,3.0,5.0,10.0,342.0,131.0,297.0,83.0,4.0,17.0,83.0,45.0,37.0,13.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2018-2019-2019-03-09-Freiburg-Hertha Berlin,bundesliga,home,Freiburg,Hertha Berlin,09.03.2019,2,1,2018-2019,35%,65%,10.0,16.0,4.0,6.0,5.0,6.0,1.0,4.0,20.0,12.0,3.0,6.0,2.0,3.0,5.0,2.0,10.0,14.0,1.0,3.0,284.0,526.0,202.0,419.0,17.0,16.0,83.0,142.0,26.0,36.0,42%,58%,5.0,5.0,2.0,3.0,3.0,1.0,0.0,1.0,10.0,7.0,2.0,2.0,1.0,1.0,3.0,1.0,6.0,7.0,0.0,2.0,172.0,246.0,126.0,188.0,9.0,6.0,48.0,66.0,11.0,12.0,28%,72%,5.0,11.0,2.0,3.0,2.0,5.0,1.0,3.0,10.0,5.0,1.0,4.0,1.0,2.0,2.0,1.0,4.0,7.0,112.0,280.0,76.0,231.0,8.0,10.0,35.0,76.0,15.0,24.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2018-2019-2019-03-09-Mainz-B. Monchengladbach,bundesliga,home,Mainz,B. Monchengladbach,09.03.2019,0,1,2018-2019,45%,55%,15.0,11.0,2.0,4.0,10.0,2.0,3.0,5.0,5.0,14.0,2.0,6.0,2.0,0.0,3.0,2.0,12.0,4.0,2.0,0.0,465.0,582.0,381.0,489.0,10.0,9.0,117.0,92.0,57.0,21.0,43%,57%,8.0,5.0,1.0,3.0,7.0,0.0,0.0,2.0,2.0,5.0,1.0,4.0,2.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,241.0,328.0,203.0,283.0,7.0,4.0,52.0,45.0,37.0,9.0,47%,53%,7.0,6.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,9.0,1.0,2.0,0.0,0.0,0.0,1.0,9.0,3.0,224.0,254.0,178.0,206.0,3.0,5.0,65.0,47.0,20.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bundesliga-2018-2019-2019-03-09-RB Leipzig-Augsburg,bundesliga,home,RB Leipzig,Augsburg,09.03.2019,0,0,2018-2019,68%,32%,17.0,5.0,4.0,3.0,8.0,1.0,5.0,1.0,12.0,16.0,7.0,4.0,3.0,3.0,3.0,4.0,13.0,9.0,1.0,1.0,635.0,301.0,530.0,180.0,22.0,18.0,185.0,87.0,83.0,21.0,67%,33%,8.0,0.0,1.0,0.0,5.0,0.0,2.0,0.0,6.0,7.0,2.0,2.0,3.0,0.0,0.0,1.0,4.0,5.0,1.0,1.0,319.0,155.0,265.0,95.0,11.0,10.0,91.0,48.0,32.0,14.0,69%,31%,9.0,5.0,3.0,3.0,3.0,1.0,3.0,1.0,6.0,9.0,5.0,2.0,0.0,3.0,3.0,3.0,9.0,4.0,316.0,146.0,265.0,85.0,11.0,8.0,94.0,39.0,51.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
