match,league,home/away,team,opponent,date,goals,opponent goals,season,Match Ball Possession,opponent Match Ball Possession,Match Goal Attempts,opponent Match Goal Attempts,Match Shots on Goal,opponent Match Shots on Goal,Match Shots off Goal,opponent Match Shots off Goal,Match Blocked Shots,opponent Match Blocked Shots,Match Free Kicks,opponent Match Free Kicks,Match Corner Kicks,opponent Match Corner Kicks,Match Offsides,opponent Match Offsides,Match Throw-in,opponent Match Throw-in,Match Goalkeeper Saves,opponent Match Goalkeeper Saves,Match Fouls,opponent Match Fouls,Match Red Cards,opponent Match Red Cards,Match Yellow Cards,opponent Match Yellow Cards,1st half Ball Possession,opponent 1st half Ball Possession,1st half Goal Attempts,opponent 1st half Goal Attempts,1st half Shots on Goal,opponent 1st half Shots on Goal,1st half Shots off Goal,opponent 1st half Shots off Goal,1st half Blocked Shots,opponent 1st half Blocked Shots,1st half Free Kicks,opponent 1st half Free Kicks,1st half Corner Kicks,opponent 1st half Corner Kicks,1st half Offsides,opponent 1st half Offsides,1st half Throw-in,opponent 1st half Throw-in,1st half Goalkeeper Saves,opponent 1st half Goalkeeper Saves,1st half Fouls,opponent 1st half Fouls,1st half Red Cards,opponent 1st half Red Cards,1st half Yellow Cards,opponent 1st half Yellow Cards,2nd half Ball Possession,opponent 2nd half Ball Possession,2nd half Goal Attempts,opponent 2nd half Goal Attempts,2nd half Shots on Goal,opponent 2nd half Shots on Goal,2nd half Shots off Goal,opponent 2nd half Shots off Goal,2nd half Blocked Shots,opponent 2nd half Blocked Shots,2nd half Free Kicks,opponent 2nd half Free Kicks,2nd half Corner Kicks,opponent 2nd half Corner Kicks,2nd half Offsides,opponent 2nd half Offsides,2nd half Throw-in,opponent 2nd half Throw-in,2nd half Goalkeeper Saves,opponent 2nd half Goalkeeper Saves,2nd half Fouls,opponent 2nd half Fouls,2nd half Yellow Cards,opponent 2nd half Yellow Cards,2nd half Red Cards,opponent 2nd half Red Cards,Match Total Passes,opponent Match Total Passes,2nd half Total Passes,opponent 2nd half Total Passes
ligue-1-2015-2016-2015-10-03-Lyon-Reims,ligue-1,home,Lyon,Reims,03.10.2015,1,0,2015-2016,58%,42%,17.0,8.0,6.0,3.0,9.0,3.0,2.0,2.0,10.0,16.0,5.0,1.0,6.0,2.0,0.0,0.0,3.0,5.0,11.0,9.0,0.0,0.0,2.0,2.0,69%,31%,12.0,2.0,4.0,1.0,6.0,0.0,2.0,1.0,5.0,5.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,47%,53%,5.0,6.0,2.0,2.0,3.0,3.0,0.0,1.0,5.0,11.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,2.0,8.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2015-2016-2015-10-03-Troyes-Guingamp,ligue-1,home,Troyes,Guingamp,03.10.2015,0,1,2015-2016,54%,46%,12.0,18.0,2.0,7.0,5.0,4.0,5.0,7.0,18.0,23.0,5.0,4.0,2.0,1.0,0.0,0.0,6.0,2.0,22.0,16.0,1.0,0.0,3.0,2.0,49%,51%,6.0,5.0,1.0,1.0,3.0,2.0,2.0,2.0,9.0,8.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,9.0,8.0,0.0,0.0,0.0,0.0,59%,41%,6.0,13.0,1.0,6.0,2.0,2.0,3.0,5.0,9.0,15.0,3.0,2.0,2.0,0.0,0.0,0.0,5.0,1.0,13.0,8.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2015-2016-2015-10-04-Caen-St Etienne,ligue-1,home,Caen,St Etienne,04.10.2015,1,0,2015-2016,39%,61%,14.0,10.0,7.0,3.0,6.0,4.0,1.0,3.0,16.0,14.0,5.0,7.0,3.0,2.0,0.0,0.0,3.0,6.0,11.0,13.0,0.0,0.0,0.0,3.0,42%,58%,9.0,4.0,5.0,2.0,4.0,1.0,0.0,1.0,8.0,5.0,4.0,3.0,0.0,2.0,0.0,0.0,2.0,5.0,5.0,6.0,0.0,0.0,0.0,1.0,36%,64%,5.0,6.0,2.0,1.0,2.0,3.0,1.0,2.0,8.0,9.0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,6.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2015-2016-2015-10-04-Lorient-Bordeaux,ligue-1,home,Lorient,Bordeaux,04.10.2015,3,2,2015-2016,47%,53%,7.0,9.0,4.0,5.0,2.0,4.0,1.0,0.0,21.0,10.0,3.0,5.0,2.0,5.0,0.0,0.0,3.0,1.0,8.0,17.0,1.0,1.0,0.0,2.0,51%,49%,0.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,8.0,5.0,1.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,43%,57%,7.0,5.0,4.0,3.0,2.0,2.0,1.0,0.0,13.0,5.0,2.0,3.0,0.0,2.0,0.0,0.0,2.0,1.0,5.0,12.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
ligue-1-2015-2016-2015-10-04-Monaco-Rennes,ligue-1,home,Monaco,Rennes,04.10.2015,1,1,2015-2016,58%,42%,14.0,8.0,6.0,3.0,5.0,4.0,3.0,1.0,20.0,16.0,8.0,3.0,3.0,2.0,0.0,0.0,2.0,5.0,14.0,16.0,0.0,0.0,3.0,2.0,57%,43%,8.0,6.0,3.0,2.0,3.0,3.0,2.0,1.0,12.0,11.0,3.0,1.0,3.0,2.0,0.0,0.0,1.0,3.0,8.0,10.0,0.0,0.0,1.0,1.0,59%,41%,6.0,2.0,3.0,1.0,2.0,1.0,1.0,0.0,8.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2015-2016-2015-10-04-Paris SG-Marseille,ligue-1,home,Paris SG,Marseille,04.10.2015,2,1,2015-2016,54%,46%,15.0,14.0,7.0,8.0,7.0,4.0,1.0,2.0,14.0,18.0,4.0,6.0,2.0,1.0,0.0,0.0,7.0,5.0,15.0,13.0,0.0,0.0,2.0,3.0,53%,47%,8.0,6.0,6.0,5.0,1.0,0.0,1.0,1.0,4.0,7.0,2.0,3.0,1.0,0.0,0.0,0.0,4.0,4.0,5.0,4.0,0.0,0.0,0.0,2.0,55%,45%,7.0,8.0,1.0,3.0,6.0,4.0,0.0,1.0,10.0,11.0,2.0,3.0,1.0,1.0,0.0,0.0,3.0,1.0,10.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2015-2016-2015-10-16-Monaco-Lyon,ligue-1,home,Monaco,Lyon,16.10.2015,1,1,2015-2016,36%,64%,12.0,17.0,4.0,6.0,6.0,5.0,2.0,6.0,20.0,19.0,3.0,4.0,0.0,3.0,0.0,0.0,5.0,3.0,19.0,16.0,1.0,0.0,2.0,2.0,42%,58%,8.0,5.0,3.0,1.0,5.0,2.0,0.0,2.0,10.0,9.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,9.0,8.0,0.0,0.0,1.0,1.0,30%,70%,4.0,12.0,1.0,5.0,1.0,3.0,2.0,4.0,10.0,10.0,2.0,3.0,0.0,2.0,0.0,0.0,4.0,1.0,10.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2015-2016-2015-10-17-Bastia-Paris SG,ligue-1,home,Bastia,Paris SG,17.10.2015,0,2,2015-2016,38%,62%,7.0,12.0,2.0,5.0,2.0,5.0,3.0,2.0,18.0,15.0,2.0,3.0,1.0,3.0,0.0,0.0,3.0,2.0,14.0,15.0,0.0,0.0,3.0,1.0,39%,61%,4.0,4.0,2.0,0.0,1.0,3.0,1.0,1.0,7.0,12.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,12.0,6.0,0.0,0.0,2.0,1.0,37%,63%,3.0,8.0,0.0,5.0,1.0,2.0,2.0,1.0,11.0,3.0,0.0,3.0,1.0,2.0,0.0,0.0,3.0,0.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2015-2016-2015-10-17-Guingamp-Lille,ligue-1,home,Guingamp,Lille,17.10.2015,1,1,2015-2016,41%,59%,10.0,11.0,2.0,2.0,7.0,4.0,1.0,5.0,24.0,10.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,25.0,0.0,1.0,1.0,4.0,39%,61%,5.0,6.0,2.0,1.0,3.0,2.0,0.0,3.0,9.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,10.0,0.0,0.0,1.0,2.0,43%,57%,5.0,5.0,0.0,1.0,4.0,2.0,1.0,2.0,15.0,6.0,2.0,2.0,-2.0,0.0,0.0,0.0,1.0,0.0,5.0,15.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
ligue-1-2015-2016-2015-10-17-Nantes-Troyes,ligue-1,home,Nantes,Troyes,17.10.2015,3,0,2015-2016,50%,50%,18.0,12.0,4.0,2.0,6.0,10.0,8.0,0.0,28.0,24.0,5.0,4.0,2.0,3.0,0.0,0.0,2.0,1.0,4.0,8.0,0.0,0.0,0.0,1.0,57%,43%,6.0,6.0,1.0,2.0,2.0,4.0,3.0,0.0,8.0,3.0,3.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,43%,57%,12.0,6.0,3.0,0.0,4.0,6.0,5.0,0.0,20.0,21.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2015-2016-2015-10-17-Reims-Caen,ligue-1,home,Reims,Caen,17.10.2015,0,1,2015-2016,58%,42%,11.0,11.0,1.0,4.0,5.0,3.0,5.0,4.0,20.0,12.0,4.0,6.0,0.0,3.0,0.0,0.0,3.0,1.0,11.0,14.0,0.0,0.0,2.0,3.0,54%,46%,7.0,7.0,1.0,2.0,5.0,3.0,1.0,2.0,10.0,7.0,3.0,5.0,0.0,2.0,0.0,0.0,2.0,1.0,8.0,8.0,0.0,0.0,2.0,1.0,62%,38%,4.0,4.0,0.0,2.0,0.0,0.0,4.0,2.0,10.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2015-2016-2015-10-17-St Etienne-GFC Ajaccio,ligue-1,home,St Etienne,GFC Ajaccio,17.10.2015,2,0,2015-2016,54%,46%,14.0,4.0,7.0,0.0,6.0,3.0,1.0,1.0,14.0,13.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,10.0,13.0,0.0,0.0,0.0,0.0,51%,49%,18.0,13.0,4.0,0.0,3.0,3.0,11.0,10.0,10.0,8.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,10.0,0.0,0.0,0.0,0.0,57%,43%,-4.0,-9.0,3.0,0.0,3.0,0.0,-10.0,-9.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2015-2016-2015-10-17-Toulouse-Angers,ligue-1,home,Toulouse,Angers,17.10.2015,1,2,2015-2016,56%,44%,18.0,7.0,6.0,5.0,7.0,2.0,5.0,0.0,14.0,8.0,9.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,12.0,14.0,0.0,0.0,1.0,1.0,56%,44%,17.0,6.0,6.0,5.0,6.0,1.0,5.0,0.0,9.0,5.0,8.0,2.0,0.0,0.0,0.0,0.0,3.0,5.0,12.0,9.0,0.0,0.0,0.0,0.0,56%,44%,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,3.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2015-2016-2015-10-18-Bordeaux-Montpellier,ligue-1,home,Bordeaux,Montpellier,18.10.2015,0,0,2015-2016,54%,46%,17.0,6.0,3.0,0.0,6.0,3.0,8.0,3.0,13.0,16.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,16.0,12.0,0.0,0.0,4.0,2.0,51%,49%,7.0,3.0,0.0,0.0,5.0,3.0,2.0,0.0,8.0,10.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,2.0,1.0,57%,43%,10.0,3.0,3.0,0.0,1.0,0.0,6.0,3.0,5.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2015-2016-2015-10-18-Marseille-Lorient,ligue-1,home,Marseille,Lorient,18.10.2015,1,1,2015-2016,60%,40%,21.0,6.0,8.0,2.0,6.0,2.0,7.0,2.0,15.0,27.0,11.0,4.0,7.0,3.0,0.0,0.0,1.0,7.0,19.0,14.0,0.0,0.0,1.0,3.0,58%,42%,10.0,2.0,5.0,1.0,5.0,1.0,0.0,0.0,6.0,15.0,5.0,1.0,4.0,2.0,0.0,0.0,0.0,4.0,10.0,5.0,0.0,0.0,0.0,2.0,62%,38%,11.0,4.0,3.0,1.0,1.0,1.0,7.0,2.0,9.0,12.0,6.0,3.0,3.0,1.0,0.0,0.0,1.0,3.0,9.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2015-2016-2015-10-18-Rennes-Nice,ligue-1,home,Rennes,Nice,18.10.2015,1,4,2015-2016,47%,53%,15.0,11.0,3.0,7.0,9.0,3.0,3.0,1.0,9.0,18.0,4.0,3.0,4.0,0.0,0.0,0.0,3.0,2.0,15.0,7.0,0.0,0.0,2.0,2.0,47%,53%,8.0,4.0,1.0,2.0,4.0,2.0,3.0,0.0,4.0,6.0,4.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,5.0,3.0,0.0,0.0,1.0,0.0,47%,53%,7.0,7.0,2.0,5.0,5.0,1.0,0.0,1.0,5.0,12.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,10.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2015-2016-2015-10-23-Caen-Nantes,ligue-1,home,Caen,Nantes,23.10.2015,0,2,2015-2016,52%,48%,16.0,10.0,4.0,3.0,12.0,7.0,0.0,0.0,19.0,9.0,7.0,5.0,1.0,0.0,0.0,0.0,1.0,4.0,8.0,20.0,0.0,0.0,1.0,2.0,44%,56%,6.0,5.0,2.0,2.0,4.0,3.0,0.0,0.0,11.0,6.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,11.0,0.0,0.0,1.0,0.0,60%,40%,10.0,5.0,2.0,1.0,8.0,4.0,0.0,0.0,8.0,3.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
ligue-1-2015-2016-2015-10-23-Lyon-Toulouse,ligue-1,home,Lyon,Toulouse,23.10.2015,3,0,2015-2016,65%,35%,20.0,7.0,8.0,3.0,9.0,4.0,3.0,0.0,21.0,18.0,4.0,5.0,2.0,3.0,24.0,23.0,3.0,5.0,16.0,19.0,0.0,0.0,1.0,4.0,63%,37%,8.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,11.0,8.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,7.0,10.0,0.0,0.0,0.0,3.0,67%,33%,12.0,6.0,4.0,2.0,5.0,4.0,3.0,0.0,10.0,10.0,1.0,4.0,1.0,1.0,24.0,23.0,2.0,2.0,9.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
